﻿year,quarter,industry,_id,region,value,unit,source
2567,ไตรมาส 1,05. การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,1,1) กรุงเทพมหานคร,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,06. การก่อสร้าง,2,1) กรุงเทพมหานคร,1.35,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,07. การขายส่ง และการขายปลีก การซ่อมยานยนต์,3,1) กรุงเทพมหานคร,6.03,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,08. การขนส่ง และสถานที่เก็บสินค้า,4,1) กรุงเทพมหานคร,3.52,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,09. ที่พักแรมและบริการด้านอาหาร,5,1) กรุงเทพมหานคร,5.32,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,10.  ข้อมูลข่าวสารและการสื่อสาร,6,1) กรุงเทพมหานคร,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,11.กิจกรรมทางการเงินและการประกันภัย,7,1) กรุงเทพมหานคร,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,12. กิจกรรมอสังหาริมทรัพย์,8,1) กรุงเทพมหานคร,1.29,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,13. กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,9,1) กรุงเทพมหานคร,2.33,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,14. กิจกรรมการบริหารและการบริการสนับสนุน,10,1) กรุงเทพมหานคร,1.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,15.  การบริหารราชการ การป้องกันประเทศ การประกันสังคม,11,1) กรุงเทพมหานคร,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,16. การศึกษา,12,1) กรุงเทพมหานคร,0.86,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,17. กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,13,1) กรุงเทพมหานคร,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,18. ศิลปะ ความบันเทิง และนันทนาการ,14,1) กรุงเทพมหานคร,0.71,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,19. กิจกรรมบริการด้านอื่น ๆ,15,1) กรุงเทพมหานคร,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,20. กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,16,1) กรุงเทพมหานคร,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,21. กิจกรรมขององค์การระหว่างประเทศ,17,1) กรุงเทพมหานคร,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,22. ไม่ทราบ,18,1) กรุงเทพมหานคร,1.57,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,01.เกษตรกรรม การป่าไม้ และการประมง,19,2) ภาคกลาง,0.95,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,02.การทำเหมืองแร่ และเหมืองหิน,20,2) ภาคกลาง,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,03. การผลิต,21,2) ภาคกลาง,25.3,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,04. ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,22,2) ภาคกลาง,0.37,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,05. การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,23,2) ภาคกลาง,0.09,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,06. การก่อสร้าง,24,2) ภาคกลาง,6.09,พันคน,สำนักงานสถิติแห่งชาติ
2567,ไตรมาส 1,07. การขายส่ง และการขายปลีก การซ่อมยานยนต์,25,2) ภาคกลาง,13.46,พันคน,สำนักงานสถิติแห่งชาติ
