เนื้อที่เพาะปลูก (ไร่),_id,อำเภอ,ที่
2513,1,เมืองตาก,1.0
2076.51,2,บ้านตาก,2.0
6732,3,สามเงา,3.0
34.25,4,แม่ระมาด,4.0
5,5,ท่าสองยาง,5.0
24,6,แม่สอด,6.0
80.68,7,พบพระ,7.0
2,8,อุ้มผาง,8.0
15871,9,วังเจ้า,9.0
27338.440000000002,10,,รวม
,11,,
,12,,
