จำนวนคน,_id,ปี,ระดับการศึกษา
15649,1,2565,ไม่มีการศึกษา
103524,2,2565,ต่ำกว่าประถมศึกษา
108875,3,2565,ประถมศึกษา
70083,4,2565,มัธยมศึกษาตอนต้น
64586,5,2565,มัธยมศึกษาตอนปลาย
63881,6,2565,มหาวิทยาลัย
0,7,2565,อื่น ๆ 
841,8,2565,ไม่ทราบ
9385,9,2566,ไม่มีการศึกษา
106411,10,2566,ต่ำกว่าประถมศึกษา
110945,11,2566,ประถมศึกษา
76124,12,2566,มัธยมศึกษาตอนต้น
65137,13,2566,มัธยมศึกษาตอนปลาย
66506,14,2566,มหาวิทยาลัย
166,15,2566,อื่น ๆ 
1269,16,2566,ไม่ทราบ
