จำนวน,_id,ปี,รายการ,ชนิดของพืชผัก
500,72,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วพู
24,73,2566,เนื้อที่เพาะปลูก (ไร่),บวบ
24,74,2566,เนื้อที่เก็บเกี่ยว (ไร่),บวบ
12.62,75,2566,ผลผลิต (ตัน),บวบ
526,76,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),บวบ
41,77,2566,เนื้อที่เพาะปลูก (ไร่),ผักชี
41,78,2566,เนื้อที่เก็บเกี่ยว (ไร่),ผักชี
43.87,79,2566,ผลผลิต (ตัน),ผักชี
1070,80,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),ผักชี
16,81,2566,เนื้อที่เพาะปลูก (ไร่),พริกใหญ่
16,82,2566,เนื้อที่เก็บเกี่ยว (ไร่),พริกใหญ่
2.77,83,2566,ผลผลิต (ตัน),พริกใหญ่
173,84,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกใหญ่
255,85,2566,เนื้อที่เพาะปลูก (ไร่),พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน)
255,86,2566,เนื้อที่เก็บเกี่ยว (ไร่),พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน)
33.15,87,2566,ผลผลิต (ตัน),พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน)
130,88,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน)
