_id,จำนวนโรงงานอุตสาหกรรม,ที่มา,หน่วยวัด,อำเภอ,จังหวัด,รายการ
1,7,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,แก้งสนามนาง,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
2,67,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,ขามทะเลสอ,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
3,11,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,ขามสะแกแสง,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
4,7,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,คง,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
5,39,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,ครบุรี,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
6,22,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,จักราช,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
7,19,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,เฉลิมพระเกียรติ,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
8,29,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,ชุมพวง,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
9,116,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,โชคชัย,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
10,97,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,ด่านขุนทด,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
11,8,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,เทพารักษ์,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
12,2,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,โนนแดง,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
13,22,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,โนนไทย,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
14,31,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,โนนสูง,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
15,7,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,บัวลอย,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
16,23,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,บัวใหญ่,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
17,1,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,บ้านเหลื่อม,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
18,14,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,ประทาย,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
19,105,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,ปักธงชัย,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
20,263,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,ปากช่อง,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
21,13,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,พระทองคำ,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
22,77,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,พิมาย,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
23,532,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,เมืองนครราชสีมา,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
24,14,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,เมืองยาง,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
25,15,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,ลำทะเมนชัย,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
26,5,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,วังน้ำเขียว,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
27,131,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,สีคิ้ว,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
28,9,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,สีดา,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
29,121,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,สูงเนิน,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
30,45,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,เสิงสาง,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
31,43,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,หนองบุญมาก,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
32,14,สำนักงานอุตสาหกรรมจังหวัด,แห่ง,ห้วยแถลง,นครราชสีมา,ความหนาแน่นของโรงงานอุตสาหกรรม 
