_id,ประเภทรถ,ปี,หน่วยวัด,รถจดทะเบียน (สะสม),หน่วยงาน,รถจดทะเบียนใหม่
1,รถโดยสารประจำทาง,2560,คัน,219,สำนักงานขนส่งจังหวัดพะเยา,
2,รถโดยสารไม่ประจำทาง,2560,คัน,189,สำนักงานขนส่งจังหวัดพะเยา,19
3,รถโดยสารส่วนบุคคล,2560,คัน,56,สำนักงานขนส่งจังหวัดพะเยา,1
4,รถโดยสารประจำทาง,2561,คัน,212,สำนักงานขนส่งจังหวัดพะเยา,1
5,รถโดยสารไม่ประจำทาง,2561,คัน,183,สำนักงานขนส่งจังหวัดพะเยา,18
6,รถโดยสารส่วนบุคคล,2561,คัน,59,สำนักงานขนส่งจังหวัดพะเยา,
7,รถโดยสารประจำทาง,2562,คัน,207,สำนักงานขนส่งจังหวัดพะเยา,3
8,รถโดยสารไม่ประจำทาง,2562,คัน,216,สำนักงานขนส่งจังหวัดพะเยา,40
9,รถโดยสารส่วนบุคคล,2562,คัน,61,สำนักงานขนส่งจังหวัดพะเยา,5
10,รถโดยสารประจำทาง,2563,คัน,196,สำนักงานขนส่งจังหวัดพะเยา,2
11,รถโดยสารไม่ประจำทาง,2563,คัน,159,สำนักงานขนส่งจังหวัดพะเยา,5
12,รถโดยสารส่วนบุคคล,2563,คัน,67,สำนักงานขนส่งจังหวัดพะเยา,5
13,รถโดยสารประจำทาง,2564,คัน,181,สำนักงานขนส่งจังหวัดพะเยา,
14,รถโดยสารไม่ประจำทาง,2564,คัน,128,สำนักงานขนส่งจังหวัดพะเยา,
15,รถโดยสารส่วนบุคคล,2564,คัน,67,สำนักงานขนส่งจังหวัดพะเยา,1
16,รถโดยสารประจำทาง,2565,คัน,168,สำนักงานขนส่งจังหวัดพะเยา,2
17,รถโดยสารไม่ประจำทาง,2565,คัน,104,สำนักงานขนส่งจังหวัดพะเยา,
18,รถโดยสารส่วนบุคคล,2565,คัน,71,สำนักงานขนส่งจังหวัดพะเยา,3
19,รถโดยสารประจำทาง,2566,คัน,155,สำนักงานขนส่งจังหวัดพะเยา,1
20,รถโดยสารไม่ประจำทาง,2566,คัน,92,สำนักงานขนส่งจังหวัดพะเยา,4
21,รถโดยสารส่วนบุคคล,2566,คัน,69,สำนักงานขนส่งจังหวัดพะเยา,2
