จำนวน,หมวด,_id,ปี พ.ศ.,เพศ,ไตรมาส,หน่วย
"1,680",นายจ้าง,1,2566,ชาย,1,คน
"1,722",นายจ้าง,2,2566,หญิง,1,คน
"9,066",ลูกจ้างรัฐบาล,3,2566,ชาย,1,คน
"10,433",ลูกจ้างรัฐบาล,4,2566,หญิง,1,คน
"36,969",ลูกจ้างเอกชน,5,2566,ชาย,1,คน
"33,320",ลูกจ้างเอกชน,6,2566,หญิง,1,คน
"60,929",ทำงานส่วนตัว,7,2566,ชาย,1,คน
"43,371",ทำงานส่วนตัว,8,2566,หญิง,1,คน
"10,411",ช่วยธุรกิจครัวเรือน,9,2566,ชาย,1,คน
"21,404",ช่วยธุรกิจครัวเรือน,10,2566,หญิง,1,คน
-,การรวมกลุ่ม,11,2566,ชาย,1,คน
-,การรวมกลุ่ม,12,2566,หญิง,1,คน
"1,357",นายจ้าง,13,2566,ชาย,2,คน
"1,199",นายจ้าง,14,2566,หญิง,2,คน
"8,008",ลูกจ้างรัฐบาล,15,2566,ชาย,2,คน
"8,594",ลูกจ้างรัฐบาล,16,2566,หญิง,2,คน
"39,789",ลูกจ้างเอกชน,17,2566,ชาย,2,คน
"35,907",ลูกจ้างเอกชน,18,2566,หญิง,2,คน
"61,629",ทำงานส่วนตัว,19,2566,ชาย,2,คน
"40,099",ทำงานส่วนตัว,20,2566,หญิง,2,คน
"12,997",ช่วยธุรกิจครัวเรือน,21,2566,ชาย,2,คน
"22,580",ช่วยธุรกิจครัวเรือน,22,2566,หญิง,2,คน
-,การรวมกลุ่ม,23,2566,ชาย,2,คน
-,การรวมกลุ่ม,24,2566,หญิง,2,คน
"1,956",นายจ้าง,25,2566,ชาย,3,คน
"1,244",นายจ้าง,26,2566,หญิง,3,คน
"6,794",ลูกจ้างรัฐบาล,27,2566,ชาย,3,คน
"8,868",ลูกจ้างรัฐบาล,28,2566,หญิง,3,คน
"32,864",ลูกจ้างเอกชน,29,2566,ชาย,3,คน
"36,497",ลูกจ้างเอกชน,30,2566,หญิง,3,คน
"62,888",ทำงานส่วนตัว,31,2566,ชาย,3,คน
"40,932",ทำงานส่วนตัว,32,2566,หญิง,3,คน
"14,230",ช่วยธุรกิจครัวเรือน,33,2566,ชาย,3,คน
"26,370",ช่วยธุรกิจครัวเรือน,34,2566,หญิง,3,คน
 - ,การรวมกลุ่ม,35,2566,ชาย,3,คน
 - ,การรวมกลุ่ม,36,2566,หญิง,3,คน
"3,053",นายจ้าง,37,2566,ชาย,4,คน
"2,169",นายจ้าง,38,2566,หญิง,4,คน
"10,377",ลูกจ้างรัฐบาล,39,2566,ชาย,4,คน
"11,736",ลูกจ้างรัฐบาล,40,2566,หญิง,4,คน
"31,087",ลูกจ้างเอกชน,41,2566,ชาย,4,คน
"31,555",ลูกจ้างเอกชน,42,2566,หญิง,4,คน
"60,766",ทำงานส่วนตัว,43,2566,ชาย,4,คน
"39,634",ทำงานส่วนตัว,44,2566,หญิง,4,คน
"13,065",ช่วยธุรกิจครัวเรือน,45,2566,ชาย,4,คน
"28,498",ช่วยธุรกิจครัวเรือน,46,2566,หญิง,4,คน
 - ,การรวมกลุ่ม,47,2566,ชาย,4,คน
 - ,การรวมกลุ่ม,48,2566,หญิง,4,คน
"2,586",นายจ้าง,49,2567,ชาย,1,คน
"1,581",นายจ้าง,50,2567,หญิง,1,คน
"11,960",ลูกจ้างรัฐบาล,51,2567,ชาย,1,คน
"13,183",ลูกจ้างรัฐบาล,52,2567,หญิง,1,คน
"33,844",ลูกจ้างเอกชน,53,2567,ชาย,1,คน
"33,870",ลูกจ้างเอกชน,54,2567,หญิง,1,คน
"58,601",ทำงานส่วนตัว,55,2567,ชาย,1,คน
"45,760",ทำงานส่วนตัว,56,2567,หญิง,1,คน
"13,456",ช่วยธุรกิจครัวเรือน,57,2567,ชาย,1,คน
"20,858",ช่วยธุรกิจครัวเรือน,58,2567,หญิง,1,คน
 - ,การรวมกลุ่ม,59,2567,ชาย,1,คน
 - ,การรวมกลุ่ม,60,2567,หญิง,1,คน
