รายการ,_id,ปี,ไร่
เนื้อที่เพาะปลูกข้าวนาปี,1,2567,241839
เนื้อที่เพาะปลูกข้าวนาปี,2,2566,213026
เนื้อที่เพาะปลูกข้าวนาปี,3,2565,218173
