_id,ลำดับ,หน่วย : โรงงาน,อำเภอ
1,ลำดับ,จำนวนโรงงาน,อำเภอ
2,1,1,เขาสวนกวาง
3,2,51,เมืองขอนแก่น
4,3,2,แวงน้อย
5,4,1,โคกโพธิ์ไชย
6,5,2,กระนวน
7,6,1,ชนบท
8,7,12,ชุมแพ
9,8,2,ซำสูง
10,9,6,น้ำพอง
11,10,2,บ้านแฮด
12,11,10,บ้านฝาง
13,12,5,พระยืน
14,13,4,พล
15,14,4,ภูเวียง
16,15,4,มัญจาคีรี
17,16,5,หนองเรือ
18,17,2,หนองสองห้อง
19,18,2,อุบลรัตน์
20,19,0,โนนศิลา
21,20,0,เวียงเก่า
22,21,0,แวงใหญ่
23,22,0,เปือยน้อย
24,23,0,หนองนาคำ
25,24,0,แวงน้อย
26,25,0,ภูผาม่าน
27,26,0,สีชมพู
28,,116,
29,จำนวนอำเภอรวม,,จำนวนโรงงานรวม
30,26 อำเภอ,,116 โรงงาน
31,,,
32,ข้อมูล ณ วันที่ 5 สิงหาคม 2568,,
