จำนวน,_id,ชื่อชุดข้อมูล,ปี,พื้นที่,หน่วยงานเจ้าของข้อมูล,หน่วย
4,1,การจ้างผู้สูงอายุ,2565,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
2,2,การจ้างผู้สูงอายุ,2565,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
4,3,การจ้างผู้สูงอายุ,2566,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
2,4,การจ้างผู้สูงอายุ,2566,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
4,5,การจ้างผู้สูงอายุ,2567,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
2,6,การจ้างผู้สูงอายุ,2567,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
4,7,การจ้างผู้สูงอายุ,2568,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
2,8,การจ้างผู้สูงอายุ,2568,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
24,9,,,,,
