_id,ปี,ระดับการศึกษา,หญิง,ชาย,รวม
1,2562,รวม,14375,4496,18871
2,2562,ไม่มีการศึกษา,364,,364
3,2562,ต่ำกว่าประถมศึกษา,1599,155,1754
4,2562,ประถมศึกษา,2154,1156,3309
5,2562,มัธยมศึกษา,7807,2266,10073
6,2562,อุดมศึกษา,2450,920,3371
7,2562,อื่นๆ และไม่ทราบ,,,
8,2563,รวม,15195,5939,21133
9,2563,ไม่มีการศึกษา,575,,575
10,2563,ต่ำกว่าประถมศึกษา,1928,660,2589
11,2563,ประถมศึกษา,4108,1433,5540
12,2563,มัธยมศึกษา,6335,1823,8159
13,2563,อุดมศึกษา,2249,2022,4271
14,2563,อื่นๆ และไม่ทราบ,,,
15,2564,รวม,7410,7779,15190
16,2564,ไม่มีการศึกษา,363,,363
17,2564,ต่ำกว่าประถมศึกษา,476,,476
18,2564,ประถมศึกษา,362,2856,3218
19,2564,มัธยมศึกษา,3267,4065,7332
20,2564,อุดมศึกษา,2943,858,3801
21,2564,อื่นๆ และไม่ทราบ,,,
