_id,year,forecast,value,unit
1,2569,พฤษภาคม-2569,0.8,ร้อยละ (ของกำลังแรงงาน)
2,2570,พฤษภาคม-2569,0.8,ร้อยละ (ของกำลังแรงงาน)
3,2571,พฤษภาคม-2569,0.7,ร้อยละ (ของกำลังแรงงาน)
