เนื้อที่เพาะปลูก (ไร่),_id,อำเภอ,ที่
" 3,919 ",1,เมืองตาก,1
" 2,652 ",2,บ้านตาก,2
" 7,772 ",3,สามเงา,3
 33 ,4,แม่ระมาด,4
 12 ,5,ท่าสองยาง,5
 90 ,6,แม่สอด,6
 91 ,7,พบพระ,7
 20 ,8,อุ้มผาง,8
" 15,401 ",9,วังเจ้า,9
" 29,990 ",10,,รวม
,11,,
,12,,
