PROVINCE,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
แพร่,123.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,1,ชาย,พันคน,ภาคเหนือ,2563
ฉะเชิงเทรา,245.6,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,2,ชาย,พันคน,ภาคกลาง,2563
ขอนแก่น,402.9,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,3,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
นครนายก,85.7,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,4,ชาย,พันคน,ภาคกลาง,2563
บึงกาฬ,94.6,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,5,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ประจวบคีรีขันธ์,150.4,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,6,ชาย,พันคน,ภาคกลาง,2563
มุกดาหาร,88.9,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,7,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ราชบุรี,246.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,8,ชาย,พันคน,ภาคกลาง,2564
สกลนคร,225.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,9,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
สมุทรสาคร,375.3,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,10,ชาย,พันคน,ภาคกลาง,2564
หนองบัวลำภู,97.0,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,11,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
สุพรรณบุรี,254.3,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,12,ชาย,พันคน,ภาคกลาง,2564
เลย,167.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,13,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
ตาก,131.2,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,14,ชาย,พันคน,ภาคเหนือ,2564
นครศรีธรรมราช,484.7,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,15,ชาย,พันคน,ภาคใต้,2564
พิจิตร,149.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,16,ชาย,พันคน,ภาคเหนือ,2565
พัทลุง,145.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,17,ชาย,พันคน,ภาคใต้,2565
สุโขทัย,190.0,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,18,ชาย,พันคน,ภาคเหนือ,2565
สุโขทัย,156.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,19,หญิง,พันคน,ภาคเหนือ,2565
อุตรดิตถ์,113.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,20,ชาย,พันคน,ภาคเหนือ,2565
อุตรดิตถ์,87.4,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,21,หญิง,พันคน,ภาคเหนือ,2565
อุทัยธานี,80.0,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,22,ชาย,พันคน,ภาคเหนือ,2565
อุทัยธานี,69.7,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,23,หญิง,พันคน,ภาคเหนือ,2565
เชียงราย,332.9,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,24,ชาย,พันคน,ภาคเหนือ,2565
เชียงราย,273.9,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,25,หญิง,พันคน,ภาคเหนือ,2565
เชียงใหม่,514.7,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,26,ชาย,พันคน,ภาคเหนือ,2565
เชียงใหม่,469.6,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,27,หญิง,พันคน,ภาคเหนือ,2565
เพชรบูรณ์,263.8,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,28,ชาย,พันคน,ภาคเหนือ,2565
เพชรบูรณ์,219.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,29,หญิง,พันคน,ภาคเหนือ,2565
แพร่,104.6,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,30,ชาย,พันคน,ภาคเหนือ,2565
แพร่,84.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,31,หญิง,พันคน,ภาคเหนือ,2565
แม่ฮ่องสอน,71.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,32,ชาย,พันคน,ภาคเหนือ,2565
แม่ฮ่องสอน,62.6,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,33,หญิง,พันคน,ภาคเหนือ,2565
กาฬสินธุ์,213.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,34,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
กาฬสินธุ์,171.8,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,35,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
ขอนแก่น,463.3,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,36,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
ขอนแก่น,392.2,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,37,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
ชัยภูมิ,255.9,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,38,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
ชัยภูมิ,214.0,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,39,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
นครพนม,151.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,40,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
นครพนม,120.0,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,41,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
นครราชสีมา,672.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,42,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
นครราชสีมา,536.2,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,43,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
บึงกาฬ,99.4,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,44,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
บึงกาฬ,92.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,45,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
บุรีรัมย์,348.4,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,46,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
บุรีรัมย์,303.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,47,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
