_id,คนงาน,ปี,กลุ่มอุตสาหกรรม,หน่วย
1, 752 ,2568,ผลิตภัณฑ์จากพืช,คน
2, 413 ,2568,อุตสาหกรรมอาหาร,คน
3, 44 ,2568,อุตสาหกรรมเครื่องดื่ม,คน
4, 33 ,2568,สิ่งทอ,คน
5, 290 ,2568,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,คน
6, 100 ,2568,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,คน
7," 1,952 ",2568,แปรรูปไม้และผลิตภัณฑ์จากไม้,คน
8," 1,538 ",2568,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,คน
9, 54 ,2568,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,คน
10, 10 ,2568,เคมีภัณฑ์และผลิตภัณฑ์เคมี,คน
11, 53 ,2568,เคมีภัณฑ์จากปิโตรเลียม,คน
12, 47 ,2568,ผลิตภัณฑ์พลาสติก,คน
13, 386 ,2568,ผลิตภัณฑ์อโลหะ,คน
14, 9 ,2568,ผลิตโลหะขั้นมูลฐาน,คน
15, 139 ,2568,ผลิตภัณฑ์โลหะ,คน
16, 22 ,2568,ผลิตเครื่องจักรและเครื่องกล,คน
17, 51 ,2568,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,คน
18," 1,151 ",2568,การผลิตอื่นๆ,คน
