_id,ปี,หน่วยนับ,เนื้อที่เก็บเกี่ยว,จังหวัด
1,2564,ไร่,2037221,นครสวรรค์
2,2565,ไร่,2371703,นครสวรรค์
3,2566,ไร่,2388912,นครสวรรค์
4,2567,ไร่,2196200,นครสวรรค์
