GENDER_NAME,MONTH_EMG_REGISTER,_id,CNT_PERSONAL,ZONE_REG_NAME,PROVINCE_NAME,YEAR_EMG_REGISTER,SSO_STATUS_NAME
ชาย,พฤษภาคม,1,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2538,ผู้ประกันตนมาตรา 33
หญิง,ตุลาคม,2,1,ภาคตะวันออก,ชลบุรี,2540,ผู้ประกันตนมาตรา 33
ชาย,ตุลาคม,3,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2542,ผู้ประกันตนมาตรา 33
ชาย,ตุลาคม,4,1,ภาคใต้ ,สงขลา,2542,ผู้ประกันตนมาตรา 33
หญิง,กรกฎาคม,5,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2544,ผู้ประกันตนมาตรา 33
ชาย,พฤศจิกายน,6,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2544,ผู้ประกันตนมาตรา 33
ชาย,กันยายน,7,1,ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,2546,ผู้ประกันตนมาตรา 33
ชาย,ตุลาคม,8,1,ภาคใต้ ,ภูเก็ต,2546,ผู้ประกันตนมาตรา 33
หญิง,ธันวาคม,9,1,ภาคใต้ ,นครศรีธรรมราช,2546,ผู้ประกันตนมาตรา 33
หญิง,กันยายน,10,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2547,ผู้ประกันตนมาตรา 33
หญิง,ตุลาคม,11,1,ภาคตะวันออก,ชลบุรี,2547,ผู้ประกันตนมาตรา 33
ชาย,กรกฎาคม,12,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2548,ผู้ประกันตนมาตรา 33
ชาย,ธันวาคม,13,1,ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,2548,ผู้ประกันตนมาตรา 33
ชาย,พฤษภาคม,14,1,ภาคตะวันออก,ระยอง,2548,ผู้ประกันตนมาตรา 33
ชาย,มกราคม,15,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2548,ผู้ประกันตนมาตรา 39
หญิง,มีนาคม,16,1,ภาคเหนือ,เชียงใหม่,2548,ผู้ประกันตนมาตรา 39
ชาย,กุมภาพันธ์,17,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2549,ผู้ประกันตนมาตรา 33
หญิง,กุมภาพันธ์,18,1,ภาคตะวันออก,ฉะเชิงเทรา,2549,ผู้ประกันตนมาตรา 33
หญิง,ตุลาคม,19,1,ภาคใต้ ,นครศรีธรรมราช,2549,ผู้ประกันตนมาตรา 33
หญิง,มีนาคม,20,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2549,ผู้ประกันตนมาตรา 33
หญิง,สิงหาคม,21,1,ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,2549,ผู้ประกันตนมาตรา 33
หญิง,ธันวาคม,22,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2550,ผู้ประกันตนมาตรา 39
หญิง,พฤษภาคม,23,1,ภาคใต้ ,ชุมพร,2550,ผู้ประกันตนมาตรา 33
หญิง,มิถุนายน,24,1,ภาคตะวันออก,ฉะเชิงเทรา,2550,ผู้ประกันตนมาตรา 33
หญิง,เมษายน,25,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2550,ผู้ประกันตนมาตรา 33
หญิง,กรกฎาคม,26,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2551,ผู้ประกันตนมาตรา 33
หญิง,ตุลาคม,27,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2551,ผู้ประกันตนมาตรา 33
ชาย,พฤษภาคม,28,1,ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,2551,ผู้ประกันตนมาตรา 33
หญิง,มิถุนายน,29,1,กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,2551,ผู้ประกันตนมาตรา 33
