_id,ปี,ช่วงเกิดภัย,หน่วยราย,วงเงินช่วยเหลือ,จำนวนเกษตรกร,หน่วยไร่,อำเภอ,จำนวนข้าว,ภัย,หน่ายบาท
1,2561,1-ก.ค.-61,ราย,"86,814.00",3,ไร่,ทัพทัน,78,ฝนทิ้งช่วง,บาท
2,2561,1-ก.ค.-61,ราย,0,0,ไร่,ลานสัก,0,ฝนทิ้งช่วง,บาท
3,2561,1-ก.ค.-61,ราย,"5,798,730.00",263,ไร่,สว่างอารมณ์,"5,210.00",ฝนทิ้งช่วง,บาท
4,2561,15-ก.ย.-61,ราย,"2,996,196.00",152,ไร่,สว่างอารมณ์,"2,692.00",ฝนแล้ง,บาท
5,2562,15-ก.ค.-62,ราย,"53,467,685.25","3,061",ไร่,ทัพทัน,"48,039.25",ภาวะฝนแล้ง,บาท
6,2562,15-ก.ค.-62,ราย,"18,642.75",10,ไร่,บ้านไร่,16.75,ภาวะฝนแล้ง,บาท
7,2562,15-ก.ค.-62,ราย,"1,062,080.25",73,ไร่,เมือง,954.25,ภาวะฝนแล้ง,บาท
8,2562,15-ก.ค.-62,ราย,"439,635.00",31,ไร่,ลานสัก,395,ภาวะฝนแล้ง,บาท
9,2562,15-ก.ค.-62,ราย,"31,558,002.00","1,635",ไร่,สว่างอารมณ์,"28,354.00",ภาวะฝนแล้ง,บาท
10,2562,15-ก.ค.-62,ราย,"8,435,427.00",508,ไร่,หนองขาหย่าง,"7,579.00",ภาวะฝนแล้ง,บาท
11,2562,15-ก.ค.-62,ราย,"39,000,633.00",2,ไร่,หนองฉาง,"35,041.00",ภาวะฝนแล้ง,บาท
12,2562,15-ก.ค.-62,ราย,"11,130.00",2,ไร่,ห้วยคต,10,ภาวะฝนแล้ง,บาท
13,2562,25-ต.ค.-62,ราย,"15,447,048.75","1,000",ไร่,ทัพทัน,"13,878.75",ภัยแล้ง,บาท
14,2562,25-ต.ค.-62,ราย,"83,196.75",12,ไร่,บ้านไร่,74.75,ภัยแล้ง,บาท
15,2562,25-ต.ค.-62,ราย,"9,163,329.00",551,ไร่,เมือง,"8,233.00",ภัยแล้ง,บาท
16,2562,25-ต.ค.-62,ราย,"3,346,791.00",288,ไร่,ลานสัก,"3,007.00",ภัยแล้ง,บาท
17,2562,25-ต.ค.-62,ราย,"19,566,540.00","1,062",ไร่,สว่างอารมณ์,"17,580.00",ภัยแล้ง,บาท
18,2562,25-ต.ค.-62,ราย,"5,052,463.50",332,ไร่,หนองขาหย่าง,"4,539.50",ภัยแล้ง,บาท
19,2562,25-ต.ค.-62,ราย,"8,006,087.25",515,ไร่,หนองฉาง,"7,193.25",ภัยแล้ง,บาท
20,2562,25-ต.ค.-62,ราย,"408,471.00",70,ไร่,ห้วยคต,367,ภัยแล้ง,บาท
21,2563,24 ส.ค. - 5 ต.ค. 2563,ราย,"60,465,394.50","4,113",ไร่,ทัพทัน,"54,326.50",ภาวะฝนแล้ง,บาท
22,2563,24 ส.ค. - 5 ต.ค. 2563,ราย,"59,219,391.00","3,031",ไร่,สว่างอารมณ์,"53,207.00",ภาวะฝนแล้ง,บาท
23,2563,24 ส.ค. - 5 ต.ค. 2563,ราย,"17,271,255.75","1,221",ไร่,หนองฉาง,"15,517.75",ภาวะฝนแล้ง,บาท
24,2563,24 ส.ค. - 5 ต.ค. 2563,ราย,"4,416,940.50",341,ไร่,หนองขาหย่าง,"3,968.50",ภาวะฝนแล้ง,บาท
25,2566, 22 พ.ค. - 1 ก.ย. 2566,ราย,"1,940,990.00",144,ไร่,ทัพทัน,"1,448.50",ภาวะฝนแล้ง,บาท
26,2566, 22 พ.ค. - 1 ก.ย. 2566,ราย,"64,322,680.00","2,376",ไร่,สว่างอารมณ์,"48,002.00",ภาวะฝนแล้ง,บาท
27,2566, 22 พ.ค. - 1 ก.ย. 2566,ราย,"20,100.00",1,ไร่,ลานสัก,15,ภาวะฝนแล้ง,บาท
28,2567,3 ก.ย.66 - 15 มี.ค.67,ราย,"56,060,240.00","4,098",ไร่,ทัพทัน,"41,836.00",ภาวะฝนแล้ง,บาท
