สถานภาพการทำงาน,จำนวน,_id,ปี
นายจ้าง,2902,1,2565
ลูกจ้างรัฐบาล,32558,2,2565
ลูกจ้างเอกชน,96443,3,2565
ทำงานส่วนตัว,194438,4,2565
ช่วยธุรกิจครัวเรือน,100932,5,2565
การรวมกลุ่ม,165,6,2565
นายจ้าง,7341,7,2566
ลูกจ้างรัฐบาล,29442,8,2566
ลูกจ้างเอกชน,88905,9,2566
ทำงานส่วนตัว,197615,10,2566
ช่วยธุรกิจครัวเรือน,112505,11,2566
การรวมกลุ่ม,210,12,2566
