ถนน,คนงานชาย,เลขที่,ซอย,แรงม้า,คนงานรวม,เงินทุนรวม,_id,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,แรงม้าตรวจพบ,ตำบล,อำเภอ,คนงานหญิง,จังหวัด,ผู้ประกอบการ,หมู่
,0,เลขที่ 243,,6,1000000,,19,19,บริษัท โคลเวอร์ พิษณุโลก จำกัด ,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,0,ดงประคำ,พรหมพิราม,15200000,พิษณุโลก,บริษัท โคลเวอร์ พิษณุโลก จำกัด ,5.0
,3,เลขที่ โฉนดที่ดินเลขที่ 13470,,334.5,4,2200000,20,20,-,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิดตามมติคณะรัฐมนตรีเพื่อจำหน่าย,334.5,หอกลอง,พรหมพิราม,1,พิษณุโลก,ประเนตร ประทุมทอง,6.0
,0,เลขที่ โฉนดที่ดิน 61894 และ 58099,,3,500000,,21,21,-,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมาตริคณะรัฐมนตรีเพื่อจำหน่าย,1,ดินทอง,วังทอง,1200000,พิษณุโลก,นายสราวุธ ภูมิผล,9.0
,770000,เลขที่ โฉนดที่ดินเลขที่  13616,,6,1000000,,22,22,-,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,4,ดินทอง,วังทอง,2400000,พิษณุโลก,นายสราวุฒิ ภูมิพล,9.0
,3,เลขที่ โฉนดที่ดินเลขที่ 191486,,1103,4,33000000,23,23,บริษัท มุ่ยเฮง กรุ๊ป จำกัด,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี,1103,ไผ่ขอดอน,เมืองพิษณุโลก,1,พิษณุโลก,บริษัท  มุ่ยเฮง กรุ๊ป จำกัด,3.0
สิงหราชเดโชชัย,498500,เลขที่ 330,โรงฆ่าสัตว์,34,0,,24,24,โรงงานฆ่าสัตว์เทศบาลนครพิษณุโลก,ฆ่าสัตว์,0,ในเมือง,เมืองพิษณุโลก,396000,พิษณุโลก,เทศบาลนครพิษณุโลก,
,1252,เลขที่ 19/2,,5924.1,3060,1527000000,25,25,บริษัท ไพโรจน์ โพลทรีย์ ฟู้ด พิษณุโลก จำกัด,โรงฆ่าและชำแหละชิ้นส่วนไก่,5924.1,บ้านกร่าง,เมืองพิษณุโลก,1808,พิษณุโลก,บริษัท ไพโรจน์ โพลทรีย์ ฟู้ด พิษณุโลก จำกัด,6.0
บรมไตรโลกนารถ 2,1200000,เลขที่ 1062/1,,10,2000000,,26,26,โรงงานผลิตภัณฑ์สุพัตรา,ทำผลิตภัณฑ์สำเร็จรูปจากเนื้อสัตว์ เช่น ไส้กรอก หมูยอ แหนมและกุนเชียง,20,ในเมือง,เมืองพิษณุโลก,7000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ผลิตภัณฑ์สุพัตรา,
สายพิษณุโลก-บางระกำ,122,เลขที่ 271,บ้านวังกุ่ม,1625.86,141,155011480,27,27,บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน),"ผลิตยางมะตอยน้ำ(แอสฟัลท์อิมัลชั่น),คัดแยกแอสฟัลท์ โพลีเมอร์โมดิฟายแอสฟัลท์พรีมิกซ์และนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบหรือผลิตภัณฑ์ใหม่",,บางระกำ,บางระกำ,19,พิษณุโลก,บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน),15.0
-,35800350,เลขที่ 28,-,148,10000000,,28,28,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),"ผลิตยางเครป, ยางแท่ง, เอสทีอาร์ 20, ยางผสม",45,หนองพระ,วังทอง,145166000,พิษณุโลก,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),11.0
