ถนน,คนงานชาย,เลขที่,ซอย,แรงม้า,คนงานรวม,เงินทุนรวม,_id,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,แรงม้าตรวจพบ,ตำบล,อำเภอ,คนงานหญิง,จังหวัด,ผู้ประกอบการ,หมู่
-,0,เลขที่ -,-,637,6,26500000,98,98,บริษัท โรงน้ำแข็งวังน้ำทิพย์ จำกัด,ทำน้ำแข็งซอง 720 ซองต่อวัน น้ำแข็งก้อนเล็ก เพิ่มขึ้น 30 ตันต่อวัน รวมเป็น 60 ตันต่อวัน และน้ำดื่ม,1368,โคกสลุด,บางกระทุ่ม,6,พิษณุโลก,บริษัท โรงน้ำแข็งวังน้ำทิพย์ จำกัด,9.0
,1000000,เลขที่ 17/10,,18,1000000,,99,99,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,ทำน้ำแข็ง,0,ทับยายเชียง,พรหมพิราม,6000000,พิษณุโลก,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,6.0
วังทอง-เขาทราย,122,เลขที่ 56,,7762.25,242,114720000,100,100,บริษัท ไบเออร์ไทย จำกัด,อบเมล็ดพันธุ์ สีและปรับปรุงสภาพเมล็ดพันธุ์ข้าวโพด,7762.25,ดินทอง,วังทอง,120,พิษณุโลก,บริษัท ไบเออร์ไทย จำกัด,6.0
,4,เลขที่ โฉนดที่ดินเลขที่ 72884,,360.5,6,4900000,101,101,ห้างหุ้นส่วนจำกัด เกษตรมีแลนด์,อบเมล็ดพันธุ์ข้าว ร่อน คัดหรือแยกขนาดหรือคุณภาพของเมล็ดพันธุ์ข้าว,360.5,บ่อทอง,บางระกำ,2,พิษณุโลก,ห้างหุ้นส่วนจำกัด เกษตรมีแลนด์,6.0
-,3,เลขที่ -,-,244.2,3,26000000,102,102,รุ่งโรจน์พืชผล,อบข้าวเปลือก,,มะตูม,พรหมพิราม,0,พิษณุโลก,นางอินทธิรา ลี้ชัยมงคล,3.0
,7000000,"เลขที่ โฉนดที่ดินเลขที่ 23342,23357,23339",,5,5000000,,103,103,รุ้งโรจน์พืชผล,อบเมล็ดพืช เช่น ข้าวเปลือก,0,มะตูม,พรหมพิราม,12000000,พิษณุโลก,นางอินทธิรา ลี้ชัยมงคล,3.0
,9500000,เลขที่ 33,,13,2000000,,104,104,บริษัท สันติเจริญเกษตร จำกัด,อบพืช เมล็ดพืช พร้อมทั้งการ ร่อน ล้าง คัด หรือแยกขนาดคุณภาพของผลิตผลเกษตรกรรม,2,บ่อทอง,บางระกำ,6025000,พิษณุโลก,บริษัท สันติเจริญเกษตร จำกัด,2.0
,2,เลขที่ 74/1,,251.26,4,4650000,105,105,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด,อบเมล็ดพืช,,วงฆ้อง,พรหมพิราม,2,พิษณุโลก,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด,1.0
พิษณุโลก-วังทอง,0,เลขที่ 169/1,,2,300000,,106,106,โรงสีพรพิษณุ,สีข้าวชนิดแยกแกลบแยกรำ อบเมล็ดพืช เช่น ข้าวเปลือก,0,สมอแข,เมืองพิษณุโลก,500000,พิษณุโลก,นางอมรพร มานะกิจศิริสุทธิ์,4.0
สีหราชเดโชชัย,0,เลขที่ 27/5,-,3,1000000,,107,107,บริษัท โรงสีเกียงเงี๊ยบ จำกัด,อบเมล็ดข้าวเปลือกและเมล็ดพันธุ์พืชอื่น,0,วัดจันทร์,เมืองพิษณุโลก,5000000,พิษณุโลก,บริษัท โรงสีเกียงเงี๊ยบ  จำกัด,7.0
,4,เลขที่ ,,87.44,4,10033171,108,108,ปรับปรุงสภาพเมล็ดพันธุ์,อบเมล็ดพืช ร่อน คัดหรือแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม เช่น ข้าวเปลือก ถั่วเหลือง ข้าวโพด,,หอกลอง,พรหมพิราม,0,พิษณุโลก,สหกรณ์การเกษตรพรหมพิราม จำกัด,4.0
,3400000,เลขที่ ,,14,87000000,,109,109,โรงอบสหกรณ์การเกษตรพรหมพิราม,"อบเมล็ดพืช,ร่อน,คัดหรือแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม เช่น ข้าวเปลือก,ข้าวโพด",0,หอกลอง,พรหมพิราม,34684895,พิษณุโลก,สหกรณ์การเกษตรพรหมพิราม จำกัด,4.0
-,5,เลขที่ 136/1,-,273.5,5,13000000,110,110,กิจไพศาล,อบเมล็ดพืช,,แก่งโสภา,วังทอง,0,พิษณุโลก,นายศุภรัตน์ ศักรนันท์,5.0
,0,เลขที่ 318,,4,0,,111,111,ลานนกน้อย,อบเมล็ดพืช และเก็บรักษาหรือลำเลียงเมล็ดพืชหรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า,3,เนินเพิ่ม,นครไทย,0,พิษณุโลก,นางสาวธนิยาภา สุทธิ,18.0
ลานกระบือ-บางระกำ,3000000,เลขที่ -,,5,1000000,,112,112,ท่าข้าวเกตุธัญญา,อบข้าวเปลือก,5,บางระกำ,บางระกำ,13200000,พิษณุโลก,นายธรรมนูญ ไกรเกตุ,17.0
พิษณุโลก-หล่มสัก,7,เลขที่ ,,435,8,108918883,113,113,ปรับปรุงสภาพเมล็ดพันธุ์พืช,ร่อน คัดแยกขนาด และอบลดความชื้นเมล็ดพันธุ์ของผลิตผลการเกษตร,,วังทอง,วังทอง,1,พิษณุโลก,ศูนย์เมล็ดพันธุ์ข้าวพิษณุโลก,15.0
,300000,เลขที่ 187,,3,4000000,,114,114,บริษัท ที.ท๊อปพลัส อิมพอร์ท เอ็กซ์พอร์ท จำกัด ,อบเมล็ดพืช เช่น ข้าวโพด,0,หินลาด,วัดโบสถ์,15000000,พิษณุโลก,บริษัท ที.ท๊อปพลัส อิมพอร์ท เอ็กซ์พอร์ท จำกัด ,1.0
สายนครสวรรค์-พิษณุโลก,6000000,เลขที่ 20/2,,5,8000000,,115,115,โรงอบโชคสันติ,อบเมล็ดพืช เช่น ข้าวเปลือก,2,บ่อทอง,บางระกำ,15000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด โชคสันติ,2.0
-,4,เลขที่ 160/1,-,333.17,4,8750000,116,116,วังเป็ดเกษตรยนต์,อบเมล็ดพันธุ์ และปรับปรุงคุณภาพเมล็ดพันธุ์ข้าวเปลือก,,บางระกำ,บางระกำ,0,พิษณุโลก,นายเชาว์ ยาประเสริฐ,2.0
พิษณุโลก-เด่นชัย,7,เลขที่ 99/9,,432.6,7,96500000,117,117,มีจินดาค้าพืชผล,อบเมล็ดพืช เช่น ข้าวโพด ข้าวเปลือก และทำมันเส้น,,ทับยายเชียง,พรหมพิราม,0,พิษณุโลก,นายเรวัฒ จินดารัตนวงศ์,6.0
,4000000,เลขที่ โฉนดที่ดิน 26137,,6,1000000,,118,118,ทรัพย์ ส.ประทีป,อบข้าวเปลือก,0,บ่อทอง,บางระกำ,30000000,พิษณุโลก,นางสาวเสริมศิริ สีปาน,1.0
บางกระทุ่ม-สันติบันเทิง,2000000,เลขที่ ,,3,2000000,,119,119,ท่าข้าวโกเข่ง,เก็บรักษาและลำเลียงเมล็ดพืช เช่น ข้าวเปลือก,0,บางกระทุ่ม,บางกระทุ่ม,1000000,พิษณุโลก,นายธงชัย มนะเกษตรธาร,4.0
,400000,เลขที่ 278,,2,5000000,,120,120,ท่าข้าวพิมพ์ฉวี,เก็บรักษา หรือลำเลียงพืชเมล็ดพืช หรือผลิตผลจากพืชในโกดัง,0,แม่ระกา,วังทอง,2000000,พิษณุโลก,นางพิมพ์ฉวี พัฒนพงษ์,13.0
,1600000,เลขที่ 92,,3,1000000,,121,121,,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในโกดัง,2,วัดพริก,เมืองพิษณุโลก,2000000,พิษณุโลก,นางสาวปัญชลี โกเมศมุนีบริรักษ์,2.0
สายกกไม้แดง-เนินมะปราง,6,เลขที่ 186/1,,295,6,20000000,122,122,ท่าข้าวลุงแจง 2,การเก็บรักษาหรือลำเลียงเมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า และทำมันเส้น,,ชมพู,เนินมะปราง,0,พิษณุโลก,นางสาวอำพร แก่นท่าตาล,4.0
พิษณุโลก-เด่นชัย,1500000,เลขที่ 77,,4,5000000,,123,123,บริษัท เกษตรไพศาลธัญกิจ จำกัด,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า,1,วัดโบสถ์,วัดโบสถ์,1000000,พิษณุโลก,บริษัท เกษตรไพศาลธัญกิจ จำกัด,7.0
,1200000,เลขที่ 99,,2,500000,,124,124,ท่าข้าววังยาว,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,0,บ้านป่า,เมืองพิษณุโลก,1000000,พิษณุโลก,นายเกียรติศักดิ์ ลี้ชัยมงคล,10.0
,3000000,เลขที่ 210,,2,1000000,,125,125,ลานตากโชค ๙ ชั้น,เก็บรักษา หรือลำเลียงเมล็ดพืช หรือ ผลิตผลจากพืชในไซโล โกดัง คลังสินค้า,0,บางระกำ,บางระกำ,1500000,พิษณุโลก,นายก้องเกียรติ เหลืองเจษฎากุล,2.0
,3500000,เลขที่ 8/9,,2,300000,,126,126,โชคบัญชา 1999,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชไซโล โกดัง หรือคลังสินค้า และทำมันเส้น,0,หนองพระ,วังทอง,1200000,พิษณุโลก,นายคัชเชนร์ ประสาทชัย,7.0
,3,เลขที่ 108,,176.5,3,7100000,127,127,ห้างหุ้นส่วนจำกัด โชคอำนวยพร 2,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า และทำมันเส้น,0,ป่าแดง,ชาติตระการ,0,พิษณุโลก,ห้างหุ้นส่วนจำกัด โชคอำนวยพร 2,4.0
,2,เลขที่ 119,,150,2,6800000,128,128,ท่าข้าวทองดี,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล ไกดัง หรือคลังสินค้า และทำมันเส้น,,ท่าตาล,บางกระทุ่ม,0,พิษณุโลก,บริษัท สีทองดี จำกัด ,9.0
,2,เลขที่ 327,,296,2,4450000,129,129,จงรักพืชผล,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า และทำมันเส้น,,ป่าแดง,ชาติตระการ,0,พิษณุโลก,นายจงรัก เสนานุช,6.0
หนองตม-พรหมพิราม,800000,เลขที่ 493,,2,1000000,,130,130,ก.พรหมพิราม,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืช ในไซโล โกดังหรือคลังสินค้า,1,พรหมพิราม,พรหมพิราม,2000000,พิษณุโลก,นายกฎเกณฑ์ มูลขำ,1.0
,500000,เลขที่ 274/2,,3,300000,,131,131,-,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า และทำมันเส้น,0,วังนกแอ่น,วังทอง,500000,พิษณุโลก,นายธีระพัตร์ ทองกร,6.0
พิษณูโลก-หล่มสัก,800000,เลขที่ 181,,8,1000000,,132,132,ราชานำโชค,เก็บรักษาหรือลำเลียงพืช เมล็ดพืชหรือผลิตผลจากพืช ในไซโล โกดัง หรือคลังสินค้า คัดแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม เช่น ข้าวโพด มันสำปะหลัง และผสมอาหารสำหรับเลี้ยงสัตว์,2,แก่งโสภา,วังทอง,2000000,พิษณุโลก,นายอนุชา น้อยวงศ์,1.0
,12,เลขที่ 368,,2751,15,335000000,133,133,ห้างหุ้นส่วนจำกัด มุ่ย เฮง เฮง เฮง,อบข้าวเปลือก เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโลโกดังหรือคลังสินค้าและทำมันเส้น,368,ไผ่ขอดอน,เมืองพิษณุโลก,3,พิษณุโลก,ห้างหุ้นส่วนจำกัด มุ่ย เฮง เฮง เฮง,3.0
,1000000,เลขที่ 137/3,,3,500000,,134,134,ท่าข้าว ล.เส็งพานิช,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในโกดัง,0,ท่าตาล,บางกระทุ่ม,500000,พิษณุโลก,นายยงยุทธ เส็งพานิช,5.0
,2,เลขที่ 175,,152,5,5500000,135,135,ห้างหุ้นส่วนจำกัด พงษ์กิจพืชไร่,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืช ในไซโล โกดังหรือคลังสินค้า กะเทาะเมล็ดข้าวโพด ร่อน คัด หรือแยกขนาด หรือคุณภาพของผลิตผลทางการเกษตร,,ดินทอง,วังทอง,3,พิษณุโลก,ห้างหุ้นส่วนจำกัด พงษ์กิจพืชไร่,1.0
วังทอง-สากเหล็ก,1400000,เลขที่ 27,,1,100000,,136,136,บุญเริ่มเทียมพืชผล,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า,1,หนองพระ,วังทอง,600000,พิษณุโลก,นายโสภณ หอมอ่อน,6.0
,1500000,เลขที่ 222,,2,1000000,,137,137,ท่าข้าวโชคช่วย,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืช ในไซโล โกดังหรือคลังสินค้า,1,มะต้อง,พรหมพิราม,2000000,พิษณุโลก,นางสาวตรีรัตน์ สังสีแก้ว,7.0
,2,เลขที่ 229,,170,2,10000000,138,138,เนรมิตรพืชผล,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า,,แก่งโสภา,วังทอง,0,พิษณุโลก,นายอนุสรณ์ เกียรติยศไกรลาศ,7.0
,7,เลขที่ 187/1,,485,8,55000000,139,139,บริษัท ที.ท๊อปพลัส อิมพอร์ท เอ็กซ์พอร์ท จำกัด,เก็บรักษาหรือลำเลียงพืช เมล็ดพืชหรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,0,หินลาด,วัดโบสถ์,1,พิษณุโลก,บริษัท ที.ท๊อปพลัส อิมพอร์ท เอ็กซ์พอร์ท จำกัด,1.0
สายกกไม้แดง-เนินมะปราง,900000,เลขที่ 2,-,3,1000000,,140,140,ดอกรักการเกษตร,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืชหรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,0,ดินทอง,วังทอง,1500000,พิษณุโลก,นางมยุรี หอมอ่อน,4.0
นครไทย-บ้านแยง,6,เลขที่ 342,-,273.6,7,9300000,141,141,,เก็บรักษาลำเลียงเมล็ดพืชทุกชนิดในโกดัง และอบเมล็ดพืช,,หนองกะท้าว,นครไทย,1,พิษณุโลก,นายอิศรา ปานเกิด,3.0
-,3,เลขที่ 168,-,512.2,4,7600000,142,142,นางสาวทิพวรรณ เดชธาดา,เก็บรักษาลำเลียงเมล็ดพืชทุกชนิดในโกดัง และอบเมล็ดพืช,512.2,ดินทอง,วังทอง,1,พิษณุโลก,นางสาวทิพวรรณ เดชธาดา,4.0
,3,เลขที่ 155,,330,5,6500000,143,143,จุ้ยเจริญกิจ,สีข้าวโพด ทำมันเส้น เก็บรักษาพืชผลทางการเกษตร ในโกดัง,,ดงประคำ,พรหมพิราม,2,พิษณุโลก,ห้างหุ้นส่วนจำกัด จุ้ยเจริญกิจ,8.0
     -,800000,เลขที่ 46,   -,1,100000,,144,144,กรวิทย์พืชผล,"การเก็บรักษาหรือลำเลียงพืช, เมล็ดพืชหรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า",11,ท่างาม,วัดโบสถ์,1000000,พิษณุโลก,นางจุฑาทิพย์ ฟักคง,4.0
สายท่างาม-โป่งแค,0,เลขที่ 155,,4,5000000,,145,145,บริษัท เกษตรไพศาลธัญกิจ จำกัด,การเก็บรักษาหรือลำเลียงเมล็ดพืช หรือผลิตผลการเกษตรในไซโล โกดัง หรือคลังสินค้าและลานตากพืชผลทางการเกษตร,0,หินลาด,วัดโบสถ์,30000000,พิษณุโลก,บริษัท เกษตรไพศาลธัญกิจ จำกัด,5.0
-,6,เลขที่ 95,-,482.6,6,8000000,146,146,ทวีพร,เก็บรักษาหรือลำเลียงพืช เมล็ดพืชหรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า และทำมันเส้น,,หนองกะท้าว,นครไทย,0,พิษณุโลก,นางจีราภรณ์ มาดี,27.0
,5,เลขที่ 65/1,,170,8,5000000,147,147,พลเกษตร,เก็บรักษาหรือลำเลียงเมล็ดพืช หรือ ผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้าและทำมันเส้น,0,หินลาด,วัดโบสถ์,3,พิษณุโลก,พงษ์ศักดิ์ วงศ์วรารักษ์,3.0
พิษณุโลก-เด่นชัย,12000000,เลขที่ 2/2,-,6,50000000,,148,148,บริษัท เกษตรไพศาลธัญกิจ จำกัด,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า,2,ทับยายเชียง,พรหมพิราม,1000000,พิษณุโลก,บริษัท เกษตรไพศาลธัญกิจ จำกัด,2.0
-,2,เลขที่ 325,-,295,2,7140000,149,149,ประจักร์การเกษตร,เก็บรักษาหรือลำเลียงเมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า และทำมันเส้น,,วังยาง,เนินมะปราง,0,พิษณุโลก,นายประจักร์ คำจำปา,2.0
-,600000,เลขที่ 272,-,3,100000,,150,150,วิเศษพานิชพืชไร่,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า,1,ดอนทอง,เมืองพิษณุโลก,3500000,พิษณุโลก,นายชัชวาลย์ วิเศษพานิช,2.0
บางระกำ-บ่อทอง,2,เลขที่ 246/3,-,292,2,2300000,151,151,โรงอบข้าว ส.ธนวัฒน์พืชผล,เก็บรักษาหรือลำเลียงพืช เมล็ดพืชหรือผลิตผลจากพืช ในไซโล โกดังหรือคลังสินค้า อบเมล็ดพืช เช่น ข้าวเปลือก,,ปลักแรด,บางระกำ,0,พิษณุโลก,บริษัท ส.ธนวัฒน์พืชผล จำกัด,5.0
วัดโบสถ์-โป่งแค,200000,เลขที่ -,-,1,30000,,152,152,วิชิตรุ่งกิจ,"การเก็บรักษาหรือลำเลียงพืช, เมล็ดพืชหรือผลิตผลจากพืชไซโล โกดังหรือคลงสินค้า",2,ท่างาม,วัดโบสถ์,60000,พิษณุโลก,นายบุญส่ง แตงอ่ำ,4.0
-,800000,เลขที่ 125,-,2,300000,,153,153,ประสาทชัยการเกษตร,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,0,วัดตายม,บางกระทุ่ม,1000000,พิษณุโลก,นายประยูร ประสาทชัย,4.0
,3,เลขที่ 222,,175,3,6500000,154,154,ลานมันทรัพย์ทวี,เก็บรักษาและลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า,,บ้านยาง,วัดโบสถ์,0,พิษณุโลก,นายสาธิต พิทยาเวชวิวัฒน์,2.0
,4000000,"เลขที่ โฉนดที่ดินเลขที่ 750,16035,19338",,2,1000000,,155,155,กรวิทย์พืชผล 3,ลานตากพืชไร่ เช่น ข้าวโพด และทำมันเส้น,0,วัดโบสถ์,วัดโบสถ์,3000000,พิษณุโลก,นางสาวธันย์ชนก ฟักคง,3.0
-,1000000,เลขที่ -,-,6,5500000,,156,156,ร้านปรางค์ทองการเกษตร,เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,0,เนินมะปราง,เนินมะปราง,1500000,พิษณุโลก,นางวันชัย ยศปัญญา,2.0
,1200000,เลขที่ 194,,2,0,,157,157,กรวิทย์พืชผล,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโลโกดังหรือคลังสินค้าและทำมันเส้น,1,หินลาด,วัดโบสถ์,1000000,พิษณุโลก,นางสาวธันย์ชนก ฟักคง,9.0
,1000000,เลขที่ 44/1,,3,500000,,158,158,ศศินิภาพืชผล,ลานตากพืชไร่ เช่น ข้าวเปลือก ข้าวโพด และทำมันเส้น,0,หินลาด,วัดโบสถ์,900000,พิษณุโลก,นางสาวธัญณภัสศ์ มีจันโท,4.0
สิงหวัฒน์,4,เลขที่ 161/1,,105,7,89000000,159,159,บริษัท สิงหวัฒน์เทรดดิ้ง จำกัด,ร่อน ทำความสะอาด คัด หรือแยกขนาดหรือคุณภาพของผลิตผล การเกษตรบรรจุใส่ภาชนะบรรจุ,,พลายชุมพล,เมืองพิษณุโลก,3,พิษณุโลก,บริษัท สิงหวัฒน์เทรดดิ้ง จำกัด,3.0
,3,เลขที่ โฉนดที่ดินเลขที่ 22600,,95,3,10300000,160,160,สินธุชัยการเกษตร,ร่อน คัด หรือแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม เช่น เมล็ดข้าวโพด และสีข้าวโพด,,แม่ระกา,วังทอง,0,พิษณุโลก,นายฤชัย แซ่ฉั่ว,1.0
,128,เลขที่ -,,1462.835,158,124000000,161,161,บริษัท เมาท์เทน วอเตอร์ จำกัด,ผลิตน้ำดื่ม และผลิตขวดพลาสติกบรรจุน้ำดื่ม,1462.835,ท่าช้าง,พรหมพิราม,30,พิษณุโลก,บริษัท เมาท์เทน วอเตอร์ จำกัด,1.0
วังทอง-เขาทราย,12,เลขที่ 467/1,,90,25,4000000,162,162,น้ำดื่มวอเตอร์เซอร์ไพรส์,ผลิตขวดน้ำพลาสติกและผลิตน้ำดื่ม,,หนองพระ,วังทอง,13,พิษณุโลก,นางสาววนิดา โพธิ์คำ,4.0
,20,เลขที่ -,,251,40,34700000,163,163,ลันตาสปอร์ต,ตัดเย็บเครื่องนุ่งห่ม และพิมพ์สิ่งทอ,251,บ้านกร่าง,เมืองพิษณุโลก,20,พิษณุโลก,วศุ  ศิริธร,5.0
สีหราชเดโชชัย,4500000,เลขที่ 322/2,,10,5000000,,164,164,บริษัท ฐานะภัณฑ์ จำกัด,ตัดเย็บเครื่องนุ่งห่ม เสื้อผ้าสำเร็จรูป และผลิตภัณฑ์จากผ้า เช่น ผ้าม่าน ผ้ากันเปื้อน ผ้าปูที่นอน ปลอกหมอน,70,ในเมือง,เมืองพิษณุโลก,1000000,พิษณุโลก,บริษัท ฐานะภัณฑ์ จำกัด,
,2,"เลขที่ โฉนดที่ดินเลขที่ 19196,19197,19198,19199,43539",,450,2,18500000,165,165,บริษัท เพิ่มพูน บารมี พิษณุโลก จำกัด,ขุดตักดินและดูดทรายในที่ดินกรรมสิทธิ์,450,บึงกอก,บางระกำ,0,พิษณุโลก,บริษัท เพิ่มพูน บารมี พิษณุโลก จำกัด,2.0
-,2,เลขที่ โฉนดที่ดินเลขที่ 52702 เลขที่ดิน 135,-,470,3,9420000,166,166,-,ขุดตักดินและทรายในที่ดินกรรมสิทธิ์,470,หนองกุลา,บางระกำ,1,พิษณุโลก,นาย วิรุต เจนบุรี,7.0
,2,เลขที่ โฉนดที่ดินเลขที่ 57786 และ 50271,,295,2,8500000,167,167,-,ขุดตักดินและดูดทรายในที่ดินกรรมสิทธิ์,295,บึงกอก,บางระกำ,0,พิษณุโลก,นายอนุสรณ์ สีแพร,11.0
,2,"เลขที่ โฉนดที่ดินเลขที่ 17348,17349,17355 และ 17356",,380,2,12000000,168,168,บริษัท พิษณุโลกคอมเพล็กซ์ จำกัด,ขุดตักดินและดูดทรายในที่ดินกรรมสิทธิ์,380,บางระกำ,บางระกำ,0,พิษณุโลก,บริษัท พิษณุโลกคอมเพล็กซ์ จำกัด,2.0
,3,เลขที่ โฉนดที่ดินเลขที่ 58688,,435,3,6400000,169,169,,ขุดตักดินและดูดทรายในที่ดินกรรมสิทธิ์,435,หนองกุลา,บางระกำ,0,พิษณุโลก,นางสาวอัญชลี ขุนศรี,21.0
,4,"เลขที่ โฉนดเลขที่ 28808,145732,145736,145737,145738,145739,145740,145741,145742",,380,4,7500000,170,170,บ่อทองคำ,ขุดดินสำหรับใช้ในการก่อสร้าง,,ปากโทก,เมืองพิษณุโลก,0,พิษณุโลก,นางปิ่นเพชร พูลสวัสดิ์,7.0
,2,เลขที่ โฉนดที่ดิเลขที่ 15991 16002 30881 30882 30883 30884 30885 60144 60145,,495,2,12000000,171,171,-,ขุดตักดินและดูดทรายในที่ดินกรรมสิทธิ์,495,บางระกำ,บางระกำ,0,พิษณุโลก,บริษัท ธิติดา ทรานสปอร์ต จำกัด,14.0
,3,"เลขที่ โฉนดที่ดินเลขที่ 65652,68366",,480,3,2600000,172,172,บ่อรัชภูมิ,ขุดตักดินและดูดทรายในที่ดินกรรมสิทธิ์เพื่อใช้ในการก่อสร้าง,,หนองกุลา,บางระกำ,0,พิษณุโลก,นายมานัส พลอยครุฑ,14.0
-,1000000,เลขที่ โฉนดที่ดินเลขที่ 46135 เลขที่ดิน 93,-,4,500000,,173,173,-,ขุดตักดิน ทราย ในที่ดินกรรมสิทธิ์ สำหรับใช้ในการก่อสร้าง,0,หนองกุลา,บางระกำ,4600000,พิษณุโลก,นายพิสิฐชัย ทองปากน้ำ,14.0
,5000000,เลขที่ โฉนดที่ดินเลขที่ 1735,,2,300000,,174,174,-,ขุดตักดิน และทราย สำหรับใช้ในการก่อสร้างในที่ดินกรรมสิทธิ,0,บางระกำ,บางระกำ,3200000,พิษณุโลก,นายทนง สุรนารถ,16.0
,1,เลขที่ โฉนดที่ดินเลขที่ 66369,,380,2,3950000,175,175,-,ขุดตักดินและดูดทรายในที่ดินกรรมสิทธิ์,380,บึงกอก,บางระกำ,1,พิษณุโลก,นางขวัญดาว แดนราชรัมย์,7.0
,2,เลขที่ โฉนดที่ดินเลขที่ 571227 และ 568540,,380,2,5500000,176,176,ทรายประมวล ขุนศรี,ขุดตัดดินและดูดทรายในที่ดินกรรมสิทธิ์,380,หนองกุลา,บางระกำ,0,พิษณุโลก,จิรนุช ขุนศรี,7.0
,2,เลขที่ โฉนดที่ดินเลขที่ 61131,,380,2,5500000,177,177,ทราย ชัยประเสริฐ,ขุดตักดินและดูดทรายในที่ดินกรรมสิทธิ์,380,หนองกุลา,บางระกำ,0,พิษณุโลก,บริษัท ทราย ชัยประเสริฐ จำกัด,7.0
,1000000,เลขที่ น.ส.3 ก. เลขที่ 1742 เลขที่ดิน 156,,1,1000000,,178,178,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา,ขุดตักดินลูกรังในที่ดินกรรมสิทธิ์,2,บ้านยาง,วัดโบสถ์,5000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา,2.0
-,12,"เลขที่ โฉนดที่ดินเลขที่ 17366,17367,17357",-,595,16,54159556,179,179,บริษัท พิษณุโลกคอมเพล็กซ์ จำกัด,ขุดตักดินและดูเทรายในที่ดินกรรมสิทธิ์,595,บางระกำ,บางระกำ,4,พิษณุโลก,บริษัท พิษณุโลกคอมเพล็กซ์ จำกัด,2.0
