เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
กรกฎาคม,47300,1,2566,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรกฎาคม,1496,2,2566,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
กรกฎาคม,13470,3,2566,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
กรกฎาคม,4,4,2566,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
กรกฎาคม,199,5,2566,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
กรกฎาคม,64,6,2566,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
กรกฎาคม,81,7,2566,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
กรกฎาคม,86,8,2566,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
กรกฎาคม,166781,9,2566,รย. 12 รถจักรยานยนต์,รถยนต์
กรกฎาคม,4682,10,2566,รย. 13 รถแทร็กเตอร์,รถยนต์
กรกฎาคม,48,11,2566,รย. 14 รถบดถนน,รถยนต์
กรกฎาคม,26,12,2566,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
กรกฎาคม,66,13,2566,รย. 16 รถพ่วง,รถยนต์
กรกฎาคม,117,14,2566,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
กรกฎาคม,101,15,2566,รถโดยสารประจำทาง,รถขนส่ง
กรกฎาคม,533,16,2566,รถโดยสารไม่ประจำทาง,รถขนส่ง
กรกฎาคม,56,17,2566,รถโดยสารส่วนบุคคล,รถขนส่ง
กรกฎาคม,3275,18,2566,รถบรรทุกไม่ประจำทาง,รถขนส่ง
กรกฎาคม,2958,19,2566,รถบรรทุกส่วนบุคคล,รถขนส่ง
