จำนวน,ประเภท,_id,ชื่อชุดข้อมูล,ปี,พื้นที่,หน่วยงานเจ้าของข้อมูล,หน่วย
"39,677",มาตรา33,1,ผู้ประกันตน,2565,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"10,647",มาตรา33,2,ผู้ประกันตน,2565,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"11,589",มาตรา 39,3,ผู้ประกันตน,2565,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"2,815",มาตรา 39,4,ผู้ประกันตน,2565,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"262,815",มาตรา 40,5,ผู้ประกันตน,2565,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"42,082",มาตรา 40,6,ผู้ประกันตน,2565,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"40,757",มาตรา 33,7,ผู้ประกันตน,2566,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"10,602",มาตรา 33,8,ผู้ประกันตน,2566,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"10,920",มาตรา 39,9,ผู้ประกันตน,2566,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"2,538",มาตรา 39,10,ผู้ประกันตน,2566,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"263,742",มาตรา 40,11,ผู้ประกันตน,2566,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"41,899",มาตรา 40,12,ผู้ประกันตน,2566,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"41,188",มาตรา33,13,ผู้ประกันตน,2567,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"11,165",มาตรา33,14,ผู้ประกันตน,2567,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"9,811",มาตรา 39,15,ผู้ประกันตน,2567,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"2,237",มาตรา 39,16,ผู้ประกันตน,2567,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"212,483",มาตรา 40,17,ผู้ประกันตน,2567,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"28,925",มาตรา 40,18,ผู้ประกันตน,2567,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"41,200",มาตรา33,19,ผู้ประกันตน,2568,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"11,289",มาตรา33,20,ผู้ประกันตน,2568,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"9,241",มาตรา 39,21,ผู้ประกันตน,2568,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"2,154",มาตรา 39,22,ผู้ประกันตน,2568,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"212,026",มาตรา 40,23,ผู้ประกันตน,2568,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"29,093",มาตรา 40,24,ผู้ประกันตน,2568,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"50,324",มาตรา 33,25,ผู้ประกันตน,2565,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"14,404",มาตรา 39,26,ผู้ประกันตน,2565,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"304,897",มาตรา 40,27,ผู้ประกันตน,2565,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"51,359",มาตรา 33,28,ผู้ประกันตน,2566,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"13,458",มาตรา 39,29,ผู้ประกันตน,2566,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"305,641",มาตรา 40,30,ผู้ประกันตน,2566,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"52,353",มาตรา 33,31,ผู้ประกันตน,2567,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"12,048",มาตรา 39,32,ผู้ประกันตน,2567,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"241,408",มาตรา 40,33,ผู้ประกันตน,2567,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"52,489",มาตรา 33,34,ผู้ประกันตน,2568,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"11,395",มาตรา 39,35,ผู้ประกันตน,2568,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
"241,119",มาตรา 40,36,ผู้ประกันตน,2568,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
