_id,permission,﻿year,unit,source,province,license_type,region,value
1,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),ทั่วประเทศ,62847256
2,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,ความยาว (เมตร),ทั่วประเทศ,2401640
3,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),ทั่วประเทศ,2105548
4,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),ทั่วประเทศ,63467986
5,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,ความยาว (เมตร),ทั่วประเทศ,2424573
6,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),ทั่วประเทศ,2340830
7,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),ทั่วประเทศ,66169031
8,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,ความยาว (เมตร),ทั่วประเทศ,2624493
9,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),ทั่วประเทศ,2323023
10,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),ทั่วประเทศ,64031214
11,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,ความยาว (เมตร),ทั่วประเทศ,2510037
12,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),ทั่วประเทศ,2190631
13,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),กรุงเทพมหานคร และปริมณฑล,26129040
14,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,ความยาว (เมตร),กรุงเทพมหานคร และปริมณฑล,1407069
15,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),กรุงเทพมหานคร และปริมณฑล,856899
16,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),กรุงเทพมหานคร และปริมณฑล,28620380
17,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,ความยาว (เมตร),กรุงเทพมหานคร และปริมณฑล,1436321
18,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),กรุงเทพมหานคร และปริมณฑล,1101221
19,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),กรุงเทพมหานคร และปริมณฑล,30267298
20,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,ความยาว (เมตร),กรุงเทพมหานคร และปริมณฑล,1655469
21,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),กรุงเทพมหานคร และปริมณฑล,1033398
22,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),กรุงเทพมหานคร และปริมณฑล,26590853
23,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,ความยาว (เมตร),กรุงเทพมหานคร และปริมณฑล,1750586
24,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,พื้นที่ (ตารางเมตร),กรุงเทพมหานคร และปริมณฑล,866217
25,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,พื้นที่ (ตารางเมตร),กรุงเทพมหานคร และปริมณฑล,12153135
26,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,ความยาว (เมตร),กรุงเทพมหานคร และปริมณฑล,723015
27,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,พื้นที่ (ตารางเมตร),กรุงเทพมหานคร และปริมณฑล,410959
28,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,พื้นที่ (ตารางเมตร),กรุงเทพมหานคร และปริมณฑล,14616808
29,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,ความยาว (เมตร),กรุงเทพมหานคร และปริมณฑล,744657
30,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,พื้นที่ (ตารางเมตร),กรุงเทพมหานคร และปริมณฑล,420845
