PROD_TYPE,PRICE,_id,WEEK_C,YEAR,MONTH_C
ข้าวเปลือกเจ้าหอมมะลิ,15191.8,1,1,2561,11
ข้าวเหนียวนาปียาว,8882.79,2,1,2561,11
ข้าวเหนียวนาปีสั้น,8436.2,3,1,2561,11
ข้าวเปลือกเจ้าความชื้น  15 %,7768.14,4,1,2561,11
ข้าวเปลือกเจ้าความชื้น  25 %,6553.47,5,1,2561,11
ข้าวโพดเมล็ดความชื้นเกิน 14 %,6.1,6,1,2561,11
ข้าวโพดเมล็ดความชื้น 14.5%,7.95,7,1,2561,11
มันสำปะหลังสด,2.52,8,1,2561,11
มันเส้น,5.1,9,1,2561,11
ถั่วเหลืองชนิดคละ,15,10,1,2561,11
ถั่วลิสงเปลือกแห้ง,50.17,11,1,2561,11
ถั่วลิสงเปลือกสด,22.92,12,1,2561,11
มะพร้าวแห้ง ใหญ่ ,523.07,13,1,2561,11
มะพร้าวแห้ง รอง,351.76,14,1,2561,11
มะพร้าวแห้ง เล็ก,208.98,15,1,2561,11
มะพร้าวแห้ง คละ,322.54,16,1,2561,11
เนื้อมะพร้าวแห้ง C,8.49,17,1,2561,11
ปาล์มร่วง ,3.59,18,1,2561,11
ปาล์มทะลาย 3-6,2.31,19,1,2561,11
ปาล์มทะลาย 7-10,2.51,20,1,2561,11
ปาล์มทะลาย11-15,2.71,21,1,2561,11
ปาล์มทะลาย > 15,2.91,22,1,2561,11
ยางแผ่นดิบ ชั้น 1,39.85,23,1,2561,11
ยางแผ่นดิบ ชั้น 2,39.35,24,1,2561,11
ยางแผ่นดิบ ชั้น 3,38.85,25,1,2561,11
ยางก้อน ,18.99,26,1,2561,11
เศษยาง,16.44,27,1,2561,11
น้ำยางสด,34.63,28,1,2561,11
ส้มเขียวหวาน ใหญ่,17.5,29,1,2561,11
ส้มเขียวหวาน รอง,9,30,1,2561,11
ส้มเขียวหวาน เล็ก,5.5,31,1,2561,11
ส้มเขียวหวาน คละ,20,32,1,2561,11
เงาะโรงเรียน,30,33,1,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด AA,36.66,34,1,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด A,31.46,35,1,2561,11
ลองกอง,29.21,36,1,2561,11
สับปะรดบริโภค,6.06,37,1,2561,11
สับปะรดโรงงาน,3.1,38,1,2561,11
ข้าวเปลือกเจ้านาปีความชื้น 22-23%,6805.25,39,1,2561,11
ข้าวเปลือกเจ้านาปีความชื้น >25%  ,6547.87,40,1,2561,11
