ประเภท,_id,ปี,ปริมาณ,จังหวัด,หน่วย
โรงงาน,1,2561,"3,039",ลำปาง,ตัน
ผลสด,2,2561,329,ลำปาง,ตัน
โรงงาน,3,2562,"1,716",ลำปาง,ตัน
ผลสด,4,2562,311,ลำปาง,ตัน
โรงงาน,5,2563,"1,236",ลำปาง,ตัน
ผลสด,6,2563,180,ลำปาง,ตัน
โรงงาน,7,2564,"2,192",ลำปาง,ตัน
ผลสด,8,2564,165,ลำปาง,ตัน
โรงงาน,9,2565,37,ลำปาง,ตัน
ผลสด,10,2565,96,ลำปาง,ตัน
โรงงาน,11,2566,0,ลำปาง,ตัน
ผลสด,12,2566,25,ลำปาง,ตัน
โรงงาน,13,2567,0,ลำปาง,ตัน
ผลสด,14,2567,14,ลำปาง,ตัน
,15,,,,
,16,,,,
,17,,,,
