GPS_lat,_id,ปี,ชื่อโรงงาน,ประกอบกิจการ,GPS_lng,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,ผู้ประกอบการ
13.58328333,1,2565,บริษัท เอส.ดับบลิว.ไฟเบอร์ จำกัด,ผลิตเส้นใยสังเคราะห์ จากเศษเส้นใยสังเคราะห์และเศษพลาสติก,100.2469167,74000,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท เอส.ดับบลิว.ไฟเบอร์ จำกัด
,2,2565,บริษัท ไทย คอมพิวเตอร์ แมนูแฟคเตอร์ริ่ง จำกัด,ประกอบเครื่องคอมพิวเตอร์ เครื่องใช้ไฟฟ้า และอุปกรณ์เครื่องใช้ไฟฟ้า,,74000,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท ไทย คอมพิวเตอร์ แมนูแฟคเตอร์ริ่ง จำกัด
13.65021667,3,2565,โซวซุ่นเฮง,กลึง-เชื่อมโลหะ ทำอะไหล่และอุปกรณ์เครื่องยนต์ เช่น น๊อต สกรู,100.2528167,74110,ตลาดกระทุ่มแบน,กระทุ่มแบน,สมุทรสาคร,นายเอี๊ยะซิง แซ่โซว
13.65076667,4,2565,เครื่องกีฬาตราชฎา,ผลิตลูกฟุตบอล ลูกขนไก่ เน๊ต,100.2607167,74110,ดอนไก่ดี,กระทุ่มแบน,สมุทรสาคร,นายกิตติ ตรีชะฎา
13.66815,5,2565,บริษัท มหานครชัยฟู๊ด จำกัด,ทำขนมปัง ข้าวเกรียบกุ้ง และถั่วอบกรอบ ได้ปีละ 400 ตัน,100.28355,74110,ท่าไม้,กระทุ่มแบน,สมุทรสาคร,บริษัท มหานครชัยฟู๊ด จำกัด
,6,2565,บริษัท ซันฟู้ดส์เทรดดิ้ง จำกัด,ผลิตอาหารจากแป้ง ขนมปังอบกรอบ บะหมี่กึ่งสำเร็จรูป อาหารว่าง (SNACK FOOD),,74000,คอกกระบือ,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท ซันฟู้ดส์เทรดดิ้ง จำกัด
13.50825,7,2565,บริษัท เฮอริเทจ สแน็ค แอนด์ ฟู้ด จำกัด,ผลิตขนมข้าวอบกรอบ และขนมอบแห้งต่าง ๆ,100.1417167,74000,บางโทรัด,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท เฮอริเทจ สแน็ค แอนด์ ฟู้ด จำกัด
13.56975,8,2565,บริษัท บุญชัย ฟูด โปรดักท์ จำกัด,ทำข้าวเกรียบกุ้ง,100.2721833,74000,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท บุญชัย ฟูด โปรดักท์ จำกัด
13.64066667,9,2565,บริษัท สิทธินันท์ จำกัด,ทำวุ้นเส้น เส้นหมี่ แป้งถั่ว,100.2097167,74120,สวนส้ม,บ้านแพ้ว,สมุทรสาคร,บริษัท สิทธินันท์ จำกัด
13.57203333,10,2565,บริษัท เอราวัณอินเตอร์ฟูด จำกัด,ทำวุ้นเส้น,100.3580833,74000,พันท้ายนรสิงห์,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท เอราวัณอินเตอร์ฟูด จำกัด
13.57417,11,2565,บริษัท สยามโกลบอลฟู้ด จำกัด,ผลิตบะหมี่กึ่งสำเร็จรูป อาหารขบเคี้ยว,100.10257,74120,หลักสาม,บ้านแพ้ว,สมุทรสาคร,บริษัท สยามโกลบอลฟู้ด จำกัด
,12,2565,บริษัท อาร์ด ออฟ เบคกิ้ง จำกัด,ผลิตภัณฑ์อาหารสำเร็จรูปที่ทำจากแป้ง,,74000,ท่าจีน,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท อาร์ด ออฟ เบคกิ้ง จำกัด
,13,2565,บริษัท โกลบอล โฟรเซ่น ฟู้ด (ประเทศไทย) จำกัด,ทำผลิตภัณฑ์อาหารจากแป้ง ทำเครื่องปรุงกลิ่น รสอาหาร ทำผลิตภัณฑ์อาหารสำเร็จรูปจากสัตว์น้ำและโรงงานห้องเย็น,,74000,บางหญ้าแพรก,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท โกลบอล โฟรเซ่น ฟู้ด (ประเทศไทย) จำกัด
,14,2565,บริษัท เอเซียนแปซิฟิคแคน จำกัด,เคลือบและพิมพ์สีแผ่นเหล็กและ/ หรือแผ่นอลูมิเนียมด้วยแลคเกอร์และหมึกพิมพ์,,74000,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท เอเซียนแปซิฟิคแคน จำกัด
13.58066667,15,2565,บริษัท เอเซียนแปซิฟิคแคน จำกัด,เคลือบแล็กเกอร์เหล็กแผ่นผลิตกระป๋องและฝากระป๋อง,100.2765833,74000,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท เอเซียนแปซิฟิคแคน จำกัด
13.56615,16,2565,บริษัท สามชัย สตีล อินดัสทรี จำกัด (มหาชน),ชุบท่อไลท์เกจด้วยสังกะสี,100.31145,74000,โคกขาม,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท สามชัย สตีล อินดัสทรี จำกัด (มหาชน)
13.54466667,17,2565,บริษัท เทคโครม จำกัด,"ชุบโลหะและทำอุปกรณ์ชิ้นส่วนเครื่องจักรทุกชนิดเพื่อประกอบจำหน่ายและรับจ้างกำลังการผลิตอุปกรณ์ชิ้นส่วนเครื่องจักร20,000ชิ้น/ปีและอุปกรณ์ชิ้นส่วนรถแทรคเตอร์1000ชิ้",100.1957,74000,บางกระเจ้า,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท เทคโครม จำกัด
,18,2565,บริษัท โลตัส เพลตติ้ง แมนูแฟคเจอริ่ง จำกัด,ชุบโลหะ,,74110,คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,บริษัท โลตัส เพลตติ้ง แมนูแฟคเจอริ่ง จำกัด
13.6727,19,2565,บริษัท ไชน่า การค้า (กรุงเทพ) จำกัด,อบฆ่าเชื้อโรค ผลิตภัณฑ์ด้วยความร้อน ,100.29505,74110,สวนหลวง,กระทุ่มแบน,สมุทรสาคร,บริษัท ไชน่าการค้า (กรุงเทพ) จำกัด
13.5273,20,2565,บริษัท ซีรอเยล อาหารทะเล จำกัด,"ปรับคุณภาพน้ำเสีย ปริมาณ 1,500 ลูกบาศก์เมตร/วัน",100.2705,74000,บางหญ้าแพรก,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท ซีรอเยล อาหารทะเล จำกัด
13.540172,21,2565,บริษัท ยูเนี่ยนโฟรเซนโปรดักส์ จำกัด,บำบัดน้ำเสียรวม,100.263324,74000,มหาชัย,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท ยูเนี่ยนโฟรเซนโปรดักส์ จำกัด
13.56851,22,2565,บริษัท โอคินอสฟู้ด จำกัด,"บำบัดน้ำเสียรวม ปริมาณบำบัดสูงสุด 4,500 ลูกบาศก์เมตรต่อวัน",100.30117,74000,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท โอคินอสฟู้ด จำกัด
13.68756667,23,2565,บริษัท แกรนด์ เรียลตี้ จำกัด,ระบบบำบัดน้ำเสียรวม,100.311,74130,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,บริษัท แกรนด์ เรียลตี้ จำกัด
13.53453333,24,2565,บริษัท อันดามันซูริมิ อินดัสทรีส์ จำกัด,"บำบัดน้ำเสียรวม ปริมาณการบำบัดน้ำเสียสูงสุด 1,850 ลูกบาศก์เมตรต่อวัน",100.2220833,74000,บางกระเจ้า,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท อันดามันซูริมิ อินดัสทรีส์ จำกัด
13.57216667,25,2565,บริษัท พัทยาฟู้ด เอ็นเนอร์ยี่ จำกัด,ผลิตและจำหน่ายไอน้ำ,100.2712,74000,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท พัทยาฟู้ด เอ็นเนอร์ยี่ จำกัด
,26,2565,บริษัท มหาชัยคราฟท์เปเปอร์ จำกัด,ผลิตไอน้ำและพลังงานไฟฟ้า ขนาด 9.8 เมกะวัตต์,,74000,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท มหาชัยคราฟท์เปเปอร์ จำกัด
,27,2565,บริษัท แอท เอนเนอจี โซลูชั่น จำกัด,ผลิต หรือจำหน่ายไอน้ำ,,74000,คอกกระบือ,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท แอท เอนเนอจี โซลูชั่น จำกัด
13.69871,28,2565,บริษัท เอเอสเอ คอนเทนเนอร์ จำกัด,ผลิตไอน้ำ,100.29656,74130,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,บริษัท เอเอสเอ คอนเทนเนอร์ จำกัด
13.53183333,29,2565,ห้างหุ้นส่วนจำกัด เกลือสมุทร วรวัฒน์,ทำเกลือป่น,100.2454,74000,ท่าจีน,เมืองสมุทรสาคร,สมุทรสาคร,ห้างหุ้นส่วนจำกัด เกลือสมุทร วรวัฒน์
,30,2565,ห้างหุ้นส่วนจำกัด ช.ว.โลหะกิจ 2539,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น เศษพลาสติก เศษยาง เศษกระดาษ เศษโฟม เศษเหล็ก เศษทองแดง เศษทองเหลือง เศษอลูมิเนียม,,74110,สวนหลวง,กระทุ่มแบน,สมุทรสาคร,ห้างหุ้นส่วนจำกัด ช.ว.โลหะกิจ 2539
,31,2565,บริษัท โรส สตีล เซอร์วิส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,74000,คอกกระบือ,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท โรส สตีล เซอร์วิส จำกัด
13.58435,32,2565,บริษัท ช. ทิพย์เกื้อกูล สตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และอัด ตัดเศษโลหะ,100.3078167,74000,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท ช.ทิพย์เกี้อกูล สตีล จำกัด
,33,2565,บริษัท ไทย เฟิง อินเตอร์เนชั่นแนล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,74110,คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,บริษัท ไทย เฟิง อินเตอร์เนชั่นแนล จำกัด
,34,2565,บริษัท หลิน เจีย เทรดดิ้ง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,,74110,ท่าเสา,กระทุ่มแบน,สมุทรสาคร,บริษัท หลิน เจีย เทรดดิ้ง จำกัด
,35,2565,บริษัท เอสเอสเค สตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,74000,บ้านเกาะ,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท เอสเอสเค สตีล จำกัด
,36,2565,บริษัท ซิน ไท่ หลง อินดัสตรี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,74000,ท่าจีน,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท ซิน ไท่ หลง อินดัสตรี จำกัด
