ค่าข้อมูล,_id,ปี,รายการ,หน่วย
59.99,1,2560,อัตราการมีงานทำ,ร้อยละ
60.13,2,2561,อัตราการมีงานทำ,ร้อยละ
58.52,3,2562,อัตราการมีงานทำ,ร้อยละ
57.1,4,2563,อัตราการมีงานทำ,ร้อยละ
57.6,5,2564,อัตราการมีงานทำ,ร้อยละ
60.58,6,2565,อัตราการมีงานทำ,ร้อยละ
61.82,7,2566,อัตราการมีงานทำ,ร้อยละ
60.39,8,2567,อัตราการมีงานทำ,ร้อยละ
