_id,amp,year,value,unit
1,รวม,2564,138121.2017,ล้านบาท
2,เมืองขอนแก่น,2564,45923.8092,ล้านบาท
3,บ้านฝาง,2564,682.1,ล้านบาท
4,พระยืน,2564,614.6676,ล้านบาท
5,หนองเรือ,2564,7589.106,ล้านบาท
6,ชุมแพ,2564,3561.5613,ล้านบาท
7,สีชมพู,2564,99.3,ล้านบาท
8,น้ำพอง,2564,50838.5766,ล้านบาท
9,อุบลรัตน์,2564,14587.2,ล้านบาท
10,กระนวน,2564,1722.785,ล้านบาท
11,บ้านไผ่,2564,3103.3591,ล้านบาท
12,เปือยน้อย,2564,9.5,ล้านบาท
13,พล,2564,2751.9856,ล้านบาท
14,แวงใหญ่,2564,41.15,ล้านบาท
15,แวงน้อย,2564,19.81,ล้านบาท
16,หนองสองห้อง,2564,680.833,ล้านบาท
17,ภูเวียง,2564,243.58,ล้านบาท
18,มัญจาคีรี,2564,476.168,ล้านบาท
19,ชนบท,2564,326.5615,ล้านบาท
20,เขาสวนกวาง,2564,817.82,ล้านบาท
21,ภูผาม่าน,2564,564.086,ล้านบาท
22,ซำสูง,2564,77.524,ล้านบาท
23,โคกโพธิ์ไชย,2564,68.1,ล้านบาท
24,หนองนาคำ,2564,15,ล้านบาท
25,บ้านแฮด,2564,1886.5092,ล้านบาท
26,โนนศิลา,2564,1410.1096,ล้านบาท
27,เวียงเก่า,2564,25,ล้านบาท
