จำนวน,ที่มา,_id,ปี,ลำดับ,หน่วย
"77,626,580.10",สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,บาท
"68,125,642.25",สำนักงานประกันสังคมจังหวัดลพบุรี,2,2566,2,บาท
"60,045,226.25",สำนักงานประกันสังคมจังหวัดลพบุรี,3,2567,3,บาท
"57,666,325.15",สำนักงานประกันสังคมจังหวัดลพบุรี,4,2568,4,บาท
