ไตรมาส 4,ไตรมาส 1,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,จังหวัด,อุตสาหกรรม
422594.07,414602.14,1,2565,431705.32,427215.88,รวม,สระบุรี,ยอดรวม
232578.39,226465.34,2,2565,235209.9,234704.91,ชาย                         ,สระบุรี,ยอดรวม
190015.68,188136.8,3,2565,196495.43,192510.96,หญิง                        ,สระบุรี,ยอดรวม
56087.83,60468.72,4,2565,61067.06,60704.58,รวม,สระบุรี,เกษตรกรรม การป่าไม้ และการประมง
34322.47,32079.68,5,2565,35532.74,33556.17,ชาย                         ,สระบุรี,เกษตรกรรม การป่าไม้ และการประมง
21765.36,28389.04,6,2565,25534.32,27148.41,หญิง                        ,สระบุรี,เกษตรกรรม การป่าไม้ และการประมง
1488.25,-,7,2565,2220.03,543.9,รวม,สระบุรี,การทำเหมืองแร่ เหมืองหิน
994.66,-,8,2565,1075.16,-,ชาย                         ,สระบุรี,การทำเหมืองแร่ เหมืองหิน
493.59,-,9,2565,1144.88,543.9,หญิง                        ,สระบุรี,การทำเหมืองแร่ เหมืองหิน
160201.03,156031.36,10,2565,162631.41,166404.03,รวม,สระบุรี,การผลิต
96800.4,89724.7,11,2565,97455.72,93341.26,ชาย                         ,สระบุรี,การผลิต
63400.63,66306.65,12,2565,65175.69,73062.77,หญิง                        ,สระบุรี,การผลิต
2211.96,753.79,13,2565,661.16,1671.96,รวม,สระบุรี,การไฟฟ้า ก๊าซ และไอน้ำ
1582.76,753.79,14,2565,461.93,1671.96,ชาย                         ,สระบุรี,การไฟฟ้า ก๊าซ และไอน้ำ
629.2,-,15,2565,199.23,-,หญิง                        ,สระบุรี,การไฟฟ้า ก๊าซ และไอน้ำ
1251.02,1501.17,16,2565,369.86,648.58,รวม,สระบุรี,การจัดหาน้ำ บำบัดน้ำเสีย
578.23,794.25,17,2565,369.86,-,ชาย                         ,สระบุรี,การจัดหาน้ำ บำบัดน้ำเสีย
672.79,706.92,18,2565,-,648.58,หญิง                        ,สระบุรี,การจัดหาน้ำ บำบัดน้ำเสีย
22271.58,18402.53,19,2565,17242.76,16855.51,รวม,สระบุรี,การก่อสร้าง
16813.12,15032.47,20,2565,14543.48,15204.96,ชาย                         ,สระบุรี,การก่อสร้าง
5458.46,3370.06,21,2565,2699.28,1650.55,หญิง                        ,สระบุรี,การก่อสร้าง
75965.99,68158.79,22,2565,72317.27,65798.0,รวม,สระบุรี,การขายส่ง การขายปลีก
34850.95,35447.22,23,2565,31935.02,32503.87,ชาย                         ,สระบุรี,การขายส่ง การขายปลีก
41115.03,32711.58,24,2565,40382.25,33294.12,หญิง                        ,สระบุรี,การขายส่ง การขายปลีก
18822.74,17856.23,25,2565,23042.78,19810.71,รวม,สระบุรี,การขนส่ง ที่เก็บสินค้า
14716.13,15437.72,26,2565,17089.01,16928.63,ชาย                         ,สระบุรี,การขนส่ง ที่เก็บสินค้า
4106.62,2418.52,27,2565,5953.77,2882.08,หญิง                        ,สระบุรี,การขนส่ง ที่เก็บสินค้า
33459.0,33642.18,28,2565,35144.04,33868.52,รวม,สระบุรี,กิจกรรมโรงแรม และอาหาร
10677.17,10693.22,29,2565,11798.63,11074.08,ชาย                         ,สระบุรี,กิจกรรมโรงแรม และอาหาร
22781.84,22948.96,30,2565,23345.41,22794.44,หญิง                        ,สระบุรี,กิจกรรมโรงแรม และอาหาร
709.31,859.29,31,2565,1148.08,1557.92,รวม,สระบุรี,ข้อมูลข่าวสาร และการสื่อสาร
