_id,ค่าเฉลี่ย,หน่วย,เดือน
1,34.6,บาท,ม.ค.
2,36,บาท,ก.พ.
3,40,บาท,มี.ค.
4,36,บาท,เม.ย.
5,34,บาท,พ.ค.
6,33.5,บาท,มิ.ย.
7,32,บาท,ก.ค.
8,33,บาท,ส.ค.
9,33.5,บาท,ก.ย.
10,30.69,บาท,ต.ค.
11,32.38,บาท,พ.ย.
12,26.68,บาท,ธ.ค.
