AGE_GROUP,VALUE,QUARTER,SOURCE,_id,UNIT,YEAR
15-19 ปี,7.86,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,1,พันคน,2563
20-24 ปี,27.89,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,2,พันคน,2563
25-29 ปี,22.51,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,3,พันคน,2563
30-34 ปี,23.42,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,4,พันคน,2563
35-39 ปี,20.82,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,5,พันคน,2563
40-49 ปี,72.61,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,6,พันคน,2563
50-59 ปี,75.16,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,7,พันคน,2563
60 ปีขึ้นไป,33.89,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,8,พันคน,2563
15-19 ปี,20.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,9,พันคน,2563
20-24 ปี,72.85,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,10,พันคน,2563
25-29 ปี,73.38,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,11,พันคน,2563
30-34 ปี,66.51,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,12,พันคน,2563
35-39 ปี,76.81,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,13,พันคน,2563
40-49 ปี,170.25,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,14,พันคน,2563
50-59 ปี,156.79,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,15,พันคน,2563
60 ปีขึ้นไป,67.25,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,16,พันคน,2563
15-19 ปี,23.52,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,17,พันคน,2563
20-24 ปี,41.89,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,18,พันคน,2563
25-29 ปี,44.76,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,19,พันคน,2563
30-34 ปี,50.58,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,20,พันคน,2563
35-39 ปี,49.83,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,21,พันคน,2563
40-49 ปี,100.95,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,22,พันคน,2563
50-59 ปี,99.36,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,23,พันคน,2563
60 ปีขึ้นไป,31.27,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,24,พันคน,2563
15-19 ปี,18.45,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,25,พันคน,2563
20-24 ปี,50.23,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,26,พันคน,2563
25-29 ปี,49.92,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,27,พันคน,2563
30-34 ปี,53.84,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,28,พันคน,2563
35-39 ปี,50.81,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,29,พันคน,2563
40-49 ปี,123.54,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,30,พันคน,2563
50-59 ปี,111.15,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,31,พันคน,2563
60 ปีขึ้นไป,52.07,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,32,พันคน,2563
15-19 ปี,16.99,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,33,พันคน,2564
20-24 ปี,59.97,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,34,พันคน,2564
25-29 ปี,53.63,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,35,พันคน,2564
30-34 ปี,50.55,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,36,พันคน,2564
35-39 ปี,49.18,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,37,พันคน,2564
40-49 ปี,184.42,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,38,พันคน,2564
50-59 ปี,164.67,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,39,พันคน,2564
60 ปีขึ้นไป,71.68,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,40,พันคน,2564
15-19 ปี,10.38,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,41,พันคน,2564
20-24 ปี,43.77,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,42,พันคน,2564
25-29 ปี,46.55,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,43,พันคน,2564
30-34 ปี,42.93,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,44,พันคน,2564
35-39 ปี,50.61,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,45,พันคน,2564
40-49 ปี,118.23,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,46,พันคน,2564
50-59 ปี,112.24,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,47,พันคน,2564
60 ปีขึ้นไป,44.54,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,48,พันคน,2564
15-19 ปี,21.72,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,49,พันคน,2564
20-24 ปี,58.76,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,50,พันคน,2564
25-29 ปี,89.22,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,51,พันคน,2564
30-34 ปี,83.26,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,52,พันคน,2564
35-39 ปี,92.57,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,53,พันคน,2564
40-49 ปี,189.46,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,54,พันคน,2564
50-59 ปี,167.03,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,55,พันคน,2564
60 ปีขึ้นไป,76.09,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,56,พันคน,2564
15-19 ปี,15.4,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,57,พันคน,2564
20-24 ปี,51.03,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,58,พันคน,2564
25-29 ปี,48.11,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,59,พันคน,2564
30-34 ปี,38.43,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,60,พันคน,2564
35-39 ปี,38.56,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,61,พันคน,2564
40-49 ปี,106.56,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,62,พันคน,2564
50-59 ปี,98.65,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,63,พันคน,2564
60 ปีขึ้นไป,41.28,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,64,พันคน,2564
15-19 ปี,8.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,65,พันคน,2565
20-24 ปี,27.83,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,66,พันคน,2565
25-29 ปี,34.33,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,67,พันคน,2565
30-34 ปี,25.45,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,68,พันคน,2565
35-39 ปี,31.02,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,69,พันคน,2565
40-49 ปี,76.11,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,70,พันคน,2565
50-59 ปี,75.14,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,71,พันคน,2565
60 ปีขึ้นไป,41.09,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,72,พันคน,2565
15-19 ปี,9.16,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,73,พันคน,2565
20-24 ปี,29.44,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,74,พันคน,2565
25-29 ปี,28.21,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,75,พันคน,2565
30-34 ปี,23.26,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,76,พันคน,2565
35-39 ปี,23.94,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,77,พันคน,2565
40-49 ปี,59.72,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,78,พันคน,2565
50-59 ปี,67.35,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,79,พันคน,2565
60 ปีขึ้นไป,22.55,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,80,พันคน,2565
15-19 ปี,7.46,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,81,พันคน,2565
20-24 ปี,21.36,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,82,พันคน,2565
