จำนวน,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
9,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,1,2554,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
9,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,2,2555,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
9,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,3,2556,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
11,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,4,2557,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
11,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,5,2558,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
11,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,6,2559,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
11,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,7,2560,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
11,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,8,2561,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
11,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,9,2562,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
11,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,10,2563,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
11,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,11,2564,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
13,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,12,2565,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
13,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,13,2566,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
3,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,14,2567,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
3,สถานีพัฒนาที่ดินจังหวัดนราธิวาส,15,2568,จำนวนโรงงานผลิตปุ๋ยอินทรีย์ชุมชน,นราธิวาส,แห่ง
