FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
NULL,20900008625599,จ3-3(2)-86/59สข,บางกล่ำ,สงขลา,นายวีระพล หนูอุไร,5,1,NULL,ขุดตักดินสำหรับใช้ในการก่อสร้าง,ดำเนินกิจการ,2023-04-18T21:00:05,100.3898692722,"โฉนดที่ดินเลขที่ 38109,36475 และ 2610",7.01121208575892,NULL,ท่าช้าง
บ้านค่าย-บ้านกำแพง,20960100125401,จ3-58(1)-1/40นธ,เมืองนราธิวาส,นราธิวาส,ห้างหุ้นส่วนจำกัด นราธิวาสทักษิณคอนกรีต,2,2,ห้างหุ้นส่วนจำกัด นราธิวาสทักษิณคอนกรีต,ผลิตท่อคอนกรีตอัดแรง,ดำเนินกิจการ,2023-04-18T21:00:05,101.839127,-,6.410073,NULL,บางนาค
NULL,20930007425592,จ3-3(2)-74/59พท,กงหรา,พัทลุง,นายก้อเส็ม ยะดี,2,3,-,ขุดตักดินสำหรับใช้ในการก่อสร้าง,ดำเนินกิจการ,2023-04-18T21:00:05,99.998674,น.ส.3ก.เลขที่ 3038,7.388939,NULL,คลองเฉลิม
กาญจนวนิช,20900100325361,จ3-53(4)-3/36สข,หาดใหญ่,สงขลา,ห้างหุ้นส่วนจำกัด หาดใหญ่ เอส.ดี.พี.ขวดพลาสติก,3,4,ห้างหุ้นส่วนจำกัด หาดใหญ่ เอส.ดี.พี ขวดพลาสติก,ผลิตขวดพลาสติก,ดำเนินกิจการ,2023-04-18T21:00:05,100.44438,80/1,6.99835,NULL,คอหงส์
       -,800100125361,ศ3-34(1)-1/36นศ,ทุ่งสง,นครศรีธรรมราช,บริษัท ชูศักดิ์แอนด์พรรณีลีดเดอร์ จำกัด,2,5,บริษัท ชูศักดิ์แอนด์พรรณีลีดเดอร์ จำกัด,แปรรูปไม้ยางพาราเพื่อจำหน่าย อัดน้ำยาและอบไม้ เพิ่มชนิดไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี ใช้เป็นวัตถุดิบป้อนโรงงาน,ดำเนินกิจการ,2023-04-18T21:00:05,99.72002,422,8.15856,บ้านน้ำพุ,ถ้ำใหญ่
ทุ่งสง-สุราษฎร์ธานี,800000225360,ศ3-34(1)-2/36นศ,ทุ่งสง,นครศรีธรรมราช,บริษัท ทุ่งสงพาราวูด จำกัด,4,6,บริษัท ทุ่งสงพาราวูด จำกัด,แปรรูปไม้ยางพาราเพื่อจำหน่าย อัดน้ำยา และอบไม้ยางพารา,ดำเนินกิจการ,2023-04-18T21:00:05,99.58831,216/1,8.20068,NULL,นาโพธิ์
NULL,800000125339,ส3-52(3)-1/33นศ,นาบอน,นครศรีธรรมราช,บริษัท ที.ที.ลาเท็กซ์ แอนด์ โปรดักซ์ จำกัด,2,7,บริษัท ที.ที.ลาเท็กซ์ แอนด์ โปรดักซ์ จำกัด,ผลิตน้ำยางข้นและ Skim Gepe,ดำเนินกิจการ,2023-04-18T21:00:05,99.59865,324/7,8.27519,NULL,นาบอน
NULL,10800000125261,3-52(3)-1/26นศ,นาบอน,นครศรีธรรมราช,บริษัท นาบอนรับเบอร์ จำกัด,2,8,บริษัท นาบอนรับเบอร์ จำกัด,ผลิตยางแอร์ดรายซีท (ยางแผ่นอบความร้อน),ดำเนินกิจการ,2023-04-18T21:00:05,99.592,278,8.26467,NULL,นาบอน
NULL,10800000125303,3-52(3)-1/30นศ,นาบอน,นครศรีธรรมราช,บริษัท ศรีเจริญการยาง จำกัด,2,9,บริษัท ศรีเจริญการยาง จำกัด,รมควันยางพารา,ดำเนินกิจการ,2023-04-18T21:00:05,99.57322,NULL,8.27828,NULL,นาบอน
พาณิชย์สัมพันธ์,10800001025155,3-14-10/15นศ,ปากพนัง,นครศรีธรรมราช,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งปากพนัง,-,10,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งปากพนัง,ทำน้ำแข็ง ได้วันละ 881 ซอง,ดำเนินกิจการ,2023-04-18T21:00:05,100.20061,152,8.34159,-,ปากพนัง
