_id,ปี,มูลค่า (บาท),อำเภอ,พื้นที่เสียหาย (ไร่)
1,2564,0,เมืองอุทัยธานี,0
2,2564,0,ทัพทัน,0
3,2564,0,สว่างอารมณ์,0
4,2564,0,หนองฉาง,0
5,2564,0,หนองขาหย่าง,0
6,2564,0,บ้านไร่,0
7,2564,0,ลานสัก,0
8,2564,0,ห้วยคต,0
9,2566,0,เมืองอุทัยธานี,0
10,2566,0,ทัพทัน,0
11,2566,0,สว่างอารมณ์,0
12,2566,0,หนองฉาง,0
13,2566,0,หนองขาหย่าง,0
14,2566,0,บ้านไร่,0
15,2566,0,ลานสัก,0
16,2566,0,ห้วยคต,0
