จำนวนคน,ชั่วโมงทำงาน,_id,ปี
5135,0 ชั่วโมง,1,2565
5413,1-9  ชั่วโมง,2,2565
10408,10-19 ชั่วโมง,3,2565
27258,20-29 ชั่วโมง,4,2565
12623,30-34 ชั่วโมง,5,2565
69554,35-39 ชั่วโมง,6,2565
209969,40-49 ชั่วโมง,7,2565
87080,50 ชั่วโมงขึ้นไป,8,2565
4444,0 ชั่วโมง,9,2566
6182,1-9  ชั่วโมง,10,2566
25179,10-19 ชั่วโมง,11,2566
45845,20-29 ชั่วโมง,12,2566
29609,30-34 ชั่วโมง,13,2566
66064,35-39 ชั่วโมง,14,2566
158286,40-49 ชั่วโมง,15,2566
100250,50 ชั่วโมงขึ้นไป,16,2566
