จำนวน,_id,ปี,หัวข้อ,เพศ,ไตรมาส,จังหวัด
12381,75,2560,ทำงานบ้าน,ชาย,2,ชลบุรี
42161,76,2560,เรียนหนังสือ,ชาย,2,ชลบุรี
93391,77,2560,อื่น ๆ,ชาย,2,ชลบุรี
733376,78,2560,ประชากรอายุ 15 ปีขึ้นไป,หญิง,2,ชลบุรี
479325,79,2560,ผู้มีงานทำ,หญิง,2,ชลบุรี
1782,80,2560,ผู้ว่างงาน,หญิง,2,ชลบุรี
0,81,2560,กำลังแรงงานที่รอฤดูกาล,หญิง,2,ชลบุรี
131911,82,2560,ทำงานบ้าน,หญิง,2,ชลบุรี
39801,83,2560,เรียนหนังสือ,หญิง,2,ชลบุรี
80558,84,2560,อื่น ๆ,หญิง,2,ชลบุรี
727790,85,2560,ประชากรอายุ 15 ปีขึ้นไป,ชาย,3,ชลบุรี
560472,86,2560,ผู้มีงานทำ,ชาย,3,ชลบุรี
5157,87,2560,ผู้ว่างงาน,ชาย,3,ชลบุรี
0,88,2560,กำลังแรงงานที่รอฤดูกาล,ชาย,3,ชลบุรี
11732,89,2560,ทำงานบ้าน,ชาย,3,ชลบุรี
45966,90,2560,เรียนหนังสือ,ชาย,3,ชลบุรี
104463,91,2560,อื่น ๆ,ชาย,3,ชลบุรี
735415,92,2560,ประชากรอายุ 15 ปีขึ้นไป,หญิง,3,ชลบุรี
459350,93,2560,ผู้มีงานทำ,หญิง,3,ชลบุรี
4589,94,2560,ผู้ว่างงาน,หญิง,3,ชลบุรี
0,95,2560,กำลังแรงงานที่รอฤดูกาล,หญิง,3,ชลบุรี
133255,96,2560,ทำงานบ้าน,หญิง,3,ชลบุรี
49756,97,2560,เรียนหนังสือ,หญิง,3,ชลบุรี
88465,98,2560,อื่น ๆ,หญิง,3,ชลบุรี
729708,99,2560,ประชากรอายุ 15 ปีขึ้นไป,ชาย,4,ชลบุรี
571092,100,2560,ผู้มีงานทำ,ชาย,4,ชลบุรี
5098,101,2560,ผู้ว่างงาน,ชาย,4,ชลบุรี
320,102,2560,กำลังแรงงานที่รอฤดูกาล,ชาย,4,ชลบุรี
8293,103,2560,ทำงานบ้าน,ชาย,4,ชลบุรี
50089,104,2560,เรียนหนังสือ,ชาย,4,ชลบุรี
94815,105,2560,อื่น ๆ,ชาย,4,ชลบุรี
737281,106,2560,ประชากรอายุ 15 ปีขึ้นไป,หญิง,4,ชลบุรี
453987,107,2560,ผู้มีงานทำ,หญิง,4,ชลบุรี
1972,108,2560,ผู้ว่างงาน,หญิง,4,ชลบุรี
0,109,2560,กำลังแรงงานที่รอฤดูกาล,หญิง,4,ชลบุรี
123937,110,2560,ทำงานบ้าน,หญิง,4,ชลบุรี
56233,111,2560,เรียนหนังสือ,หญิง,4,ชลบุรี
101153,112,2560,อื่น ๆ,หญิง,4,ชลบุรี
731642,113,2561,ประชากรอายุ 15 ปีขึ้นไป,ชาย,1,ชลบุรี
573398,114,2561,ผู้มีงานทำ,ชาย,1,ชลบุรี
3756,115,2561,ผู้ว่างงาน,ชาย,1,ชลบุรี
0,116,2561,กำลังแรงงานที่รอฤดูกาล,ชาย,1,ชลบุรี
9427,117,2561,ทำงานบ้าน,ชาย,1,ชลบุรี
50891,118,2561,เรียนหนังสือ,ชาย,1,ชลบุรี
94169,119,2561,อื่น ๆ,ชาย,1,ชลบุรี
739271,120,2561,ประชากรอายุ 15 ปีขึ้นไป,หญิง,1,ชลบุรี
477855,121,2561,ผู้มีงานทำ,หญิง,1,ชลบุรี
3156,122,2561,ผู้ว่างงาน,หญิง,1,ชลบุรี
0,123,2561,กำลังแรงงานที่รอฤดูกาล,หญิง,1,ชลบุรี
117684,124,2561,ทำงานบ้าน,หญิง,1,ชลบุรี
61986,125,2561,เรียนหนังสือ,หญิง,1,ชลบุรี
78591,126,2561,อื่น ๆ,หญิง,1,ชลบุรี
733520,127,2561,ประชากรอายุ 15 ปีขึ้นไป,ชาย,2,ชลบุรี
586639,128,2561,ผู้มีงานทำ,ชาย,2,ชลบุรี
2701,129,2561,ผู้ว่างงาน,ชาย,2,ชลบุรี
248,130,2561,กำลังแรงงานที่รอฤดูกาล,ชาย,2,ชลบุรี
4506,131,2561,ทำงานบ้าน,ชาย,2,ชลบุรี
48978,132,2561,เรียนหนังสือ,ชาย,2,ชลบุรี
90449,133,2561,อื่น ๆ,ชาย,2,ชลบุรี
741280,134,2561,ประชากรอายุ 15 ปีขึ้นไป,หญิง,2,ชลบุรี
475227,135,2561,ผู้มีงานทำ,หญิง,2,ชลบุรี
3000,136,2561,ผู้ว่างงาน,หญิง,2,ชลบุรี
0,137,2561,กำลังแรงงานที่รอฤดูกาล,หญิง,2,ชลบุรี
124709,138,2561,ทำงานบ้าน,หญิง,2,ชลบุรี
60984,139,2561,เรียนหนังสือ,หญิง,2,ชลบุรี
77360,140,2561,อื่น ๆ,หญิง,2,ชลบุรี
735352,141,2561,ประชากรอายุ 15 ปีขึ้นไป,ชาย,3,ชลบุรี
585175,142,2561,ผู้มีงานทำ,ชาย,3,ชลบุรี
3399,143,2561,ผู้ว่างงาน,ชาย,3,ชลบุรี
0,144,2561,กำลังแรงงานที่รอฤดูกาล,ชาย,3,ชลบุรี
4177,145,2561,ทำงานบ้าน,ชาย,3,ชลบุรี
43396,146,2561,เรียนหนังสือ,ชาย,3,ชลบุรี
99204,147,2561,อื่น ๆ,ชาย,3,ชลบุรี
743178,148,2561,ประชากรอายุ 15 ปีขึ้นไป,หญิง,3,ชลบุรี
460347,149,2561,ผู้มีงานทำ,หญิง,3,ชลบุรี
4089,150,2561,ผู้ว่างงาน,หญิง,3,ชลบุรี
0,151,2561,กำลังแรงงานที่รอฤดูกาล,หญิง,3,ชลบุรี
134785,152,2561,ทำงานบ้าน,หญิง,3,ชลบุรี
60503,153,2561,เรียนหนังสือ,หญิง,3,ชลบุรี
83454,154,2561,อื่น ๆ,หญิง,3,ชลบุรี
737067,155,2561,ประชากรอายุ 15 ปีขึ้นไป,ชาย,4,ชลบุรี
579615,156,2561,ผู้มีงานทำ,ชาย,4,ชลบุรี
6094,157,2561,ผู้ว่างงาน,ชาย,4,ชลบุรี
0,158,2561,กำลังแรงงานที่รอฤดูกาล,ชาย,4,ชลบุรี
11286,159,2561,ทำงานบ้าน,ชาย,4,ชลบุรี
37359,160,2561,เรียนหนังสือ,ชาย,4,ชลบุรี
102713,161,2561,อื่น ๆ,ชาย,4,ชลบุรี
745137,162,2561,ประชากรอายุ 15 ปีขึ้นไป,หญิง,4,ชลบุรี
479016,163,2561,ผู้มีงานทำ,หญิง,4,ชลบุรี
670,164,2561,ผู้ว่างงาน,หญิง,4,ชลบุรี
0,165,2561,กำลังแรงงานที่รอฤดูกาล,หญิง,4,ชลบุรี
131295,166,2561,ทำงานบ้าน,หญิง,4,ชลบุรี
53149,167,2561,เรียนหนังสือ,หญิง,4,ชลบุรี
81006,168,2561,อื่น ๆ,หญิง,4,ชลบุรี
738856,169,2562,ประชากรอายุ 15 ปีขึ้นไป,ชาย,1,ชลบุรี
573725,170,2562,ผู้มีงานทำ,ชาย,1,ชลบุรี
4983,171,2562,ผู้ว่างงาน,ชาย,1,ชลบุรี
2055,172,2562,กำลังแรงงานที่รอฤดูกาล,ชาย,1,ชลบุรี
13389,173,2562,ทำงานบ้าน,ชาย,1,ชลบุรี
37860,174,2562,เรียนหนังสือ,ชาย,1,ชลบุรี
106845,175,2562,อื่น ๆ,ชาย,1,ชลบุรี
746906,176,2562,ประชากรอายุ 15 ปีขึ้นไป,หญิง,1,ชลบุรี
482823,177,2562,ผู้มีงานทำ,หญิง,1,ชลบุรี
899,178,2562,ผู้ว่างงาน,หญิง,1,ชลบุรี
0,179,2562,กำลังแรงงานที่รอฤดูกาล,หญิง,1,ชลบุรี
125846,180,2562,ทำงานบ้าน,หญิง,1,ชลบุรี
52148,181,2562,เรียนหนังสือ,หญิง,1,ชลบุรี
85191,182,2562,อื่น ๆ,หญิง,1,ชลบุรี
740613,183,2562,ประชากรอายุ 15 ปีขึ้นไป,ชาย,2,ชลบุรี
562118,184,2562,ผู้มีงานทำ,ชาย,2,ชลบุรี
3570,185,2562,ผู้ว่างงาน,ชาย,2,ชลบุรี
0,186,2562,กำลังแรงงานที่รอฤดูกาล,ชาย,2,ชลบุรี
20385,187,2562,ทำงานบ้าน,ชาย,2,ชลบุรี
46364,188,2562,เรียนหนังสือ,ชาย,2,ชลบุรี
108176,189,2562,อื่น ๆ,ชาย,2,ชลบุรี
748787,190,2562,ประชากรอายุ 15 ปีขึ้นไป,หญิง,2,ชลบุรี
488479,191,2562,ผู้มีงานทำ,หญิง,2,ชลบุรี
0,192,2562,ผู้ว่างงาน,หญิง,2,ชลบุรี
166,193,2562,กำลังแรงงานที่รอฤดูกาล,หญิง,2,ชลบุรี
123319,194,2562,ทำงานบ้าน,หญิง,2,ชลบุรี
52431,195,2562,เรียนหนังสือ,หญิง,2,ชลบุรี
84391,196,2562,อื่น ๆ,หญิง,2,ชลบุรี
742403,197,2562,ประชากรอายุ 15 ปีขึ้นไป,ชาย,3,ชลบุรี
571450,198,2562,ผู้มีงานทำ,ชาย,3,ชลบุรี
3199,199,2562,ผู้ว่างงาน,ชาย,3,ชลบุรี
0,200,2562,กำลังแรงงานที่รอฤดูกาล,ชาย,3,ชลบุรี
13261,201,2562,ทำงานบ้าน,ชาย,3,ชลบุรี
47090,202,2562,เรียนหนังสือ,ชาย,3,ชลบุรี
107403,203,2562,อื่น ๆ,ชาย,3,ชลบุรี
750698,204,2562,ประชากรอายุ 15 ปีขึ้นไป,หญิง,3,ชลบุรี
471472,205,2562,ผู้มีงานทำ,หญิง,3,ชลบุรี
2217,206,2562,ผู้ว่างงาน,หญิง,3,ชลบุรี
0,207,2562,กำลังแรงงานที่รอฤดูกาล,หญิง,3,ชลบุรี
134798,208,2562,ทำงานบ้าน,หญิง,3,ชลบุรี
54481,209,2562,เรียนหนังสือ,หญิง,3,ชลบุรี
87729,210,2562,อื่น ๆ,หญิง,3,ชลบุรี
744208,211,2562,ประชากรอายุ 15 ปีขึ้นไป,ชาย,4,ชลบุรี
576964,212,2562,ผู้มีงานทำ,ชาย,4,ชลบุรี
2489,213,2562,ผู้ว่างงาน,ชาย,4,ชลบุรี
1119,214,2562,กำลังแรงงานที่รอฤดูกาล,ชาย,4,ชลบุรี
8044,215,2562,ทำงานบ้าน,ชาย,4,ชลบุรี
44581,216,2562,เรียนหนังสือ,ชาย,4,ชลบุรี
111010,217,2562,อื่น ๆ,ชาย,4,ชลบุรี
752642,218,2562,ประชากรอายุ 15 ปีขึ้นไป,หญิง,4,ชลบุรี
468211,219,2562,ผู้มีงานทำ,หญิง,4,ชลบุรี
848,220,2562,ผู้ว่างงาน,หญิง,4,ชลบุรี
0,221,2562,กำลังแรงงานที่รอฤดูกาล,หญิง,4,ชลบุรี
137443,222,2562,ทำงานบ้าน,หญิง,4,ชลบุรี
47069,223,2562,เรียนหนังสือ,หญิง,4,ชลบุรี
99070,224,2562,อื่น ๆ,หญิง,4,ชลบุรี
746036,225,2563,ประชากรอายุ 15 ปีขึ้นไป,ชาย,1,ชลบุรี
575071,226,2563,ผู้มีงานทำ,ชาย,1,ชลบุรี
3516,227,2563,ผู้ว่างงาน,ชาย,1,ชลบุรี
0,228,2563,กำลังแรงงานที่รอฤดูกาล,ชาย,1,ชลบุรี
12306,229,2563,ทำงานบ้าน,ชาย,1,ชลบุรี
38777,230,2563,เรียนหนังสือ,ชาย,1,ชลบุรี
116366,231,2563,อื่น ๆ,ชาย,1,ชลบุรี
754606,232,2563,ประชากรอายุ 15 ปีขึ้นไป,หญิง,1,ชลบุรี
456214,233,2563,ผู้มีงานทำ,หญิง,1,ชลบุรี
1676,234,2563,ผู้ว่างงาน,หญิง,1,ชลบุรี
0,235,2563,กำลังแรงงานที่รอฤดูกาล,หญิง,1,ชลบุรี
148396,236,2563,ทำงานบ้าน,หญิง,1,ชลบุรี
54181,237,2563,เรียนหนังสือ,หญิง,1,ชลบุรี
94139,238,2563,อื่น ๆ,หญิง,1,ชลบุรี
747881,239,2563,ประชากรอายุ 15 ปีขึ้นไป,ชาย,2,ชลบุรี
550468,240,2563,ผู้มีงานทำ,ชาย,2,ชลบุรี
14149,241,2563,ผู้ว่างงาน,ชาย,2,ชลบุรี
929,242,2563,กำลังแรงงานที่รอฤดูกาล,ชาย,2,ชลบุรี
9534,243,2563,ทำงานบ้าน,ชาย,2,ชลบุรี
43727,244,2563,เรียนหนังสือ,ชาย,2,ชลบุรี
129074,245,2563,อื่น ๆ,ชาย,2,ชลบุรี
756602,246,2563,ประชากรอายุ 15 ปีขึ้นไป,หญิง,2,ชลบุรี
