ค่าข้อมูล,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
1.73,สำนักงานสถิติจังหวัดสตูล,1,2560,อัตราการว่างงาน            ,สตูล,ร้อยละ
1.53,สำนักงานสถิติจังหวัดสตูล,2,2561,อัตราการว่างงาน            ,สตูล,ร้อยละ
1.71,สำนักงานสถิติจังหวัดสตูล,3,2562,อัตราการว่างงาน            ,สตูล,ร้อยละ
2.32,สำนักงานสถิติจังหวัดสตูล,4,2563,อัตราการว่างงาน            ,สตูล,ร้อยละ
3.13,สำนักงานสถิติจังหวัดสตูล,5,2564,อัตราการว่างงาน            ,สตูล,ร้อยละ
2.07,สำนักงานสถิติจังหวัดสตูล,6,2565,อัตราการว่างงาน            ,สตูล,ร้อยละ
1.97,สำนักงานสถิติจังหวัดสตูล,7,2566,อัตราการว่างงาน            ,สตูล,ร้อยละ
1.39,สำนักงานสถิติจังหวัดสตูล,8,2567,อัตราการว่างงาน            ,สตูล,ร้อยละ
