ค่าข้อมูล,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
141549,สำนักงานเกษตรจังหวัดมหาสารคาม,1,2561,เนื้อที่เพาะปลูกอ้อย,มหาสารคาม,ไร่
123639.59,สำนักงานเกษตรจังหวัดมหาสารคาม,2,2562,เนื้อที่เพาะปลูกอ้อย,มหาสารคาม,ไร่
129025,สำนักงานเกษตรจังหวัดมหาสารคาม,3,2563,เนื้อที่เพาะปลูกอ้อย,มหาสารคาม,ไร่
76682,สำนักงานเกษตรจังหวัดมหาสารคาม,4,2564,เนื้อที่เพาะปลูกอ้อย,มหาสารคาม,ไร่
130965,สำนักงานเกษตรจังหวัดมหาสารคาม,5,2565,เนื้อที่เพาะปลูกอ้อย,มหาสารคาม,ไร่
132275,สำนักงานเกษตรจังหวัดมหาสารคาม,6,2566,เนื้อที่เพาะปลูกอ้อย,มหาสารคาม,ไร่
128923,สำนักงานเกษตรจังหวัดมหาสารคาม,7,2567,เนื้อที่เพาะปลูกอ้อย,มหาสารคาม,ไร่
112634.63,สำนักงานเกษตรจังหวัดมหาสารคาม,8,2568,เนื้อที่เพาะปลูกอ้อย,มหาสารคาม,ไร่
