เดือน,ไม่อันตราย,_id,ปี,อันตราย
ม.ค.,"47,579.70",1,2563,"19,036.20"
ก.พ.,"56,685.00",2,2563,"19,465.70"
มี.ค.,"52,775.70",3,2563,"26,029.50"
เม.ย.,"38,192.70",4,2563,"15,856.90"
พ.ค.,"32,941.40",5,2563,"19,474.20"
มิ.ย.,"27,879.30",6,2563,"12,587.00"
ก.ค.,"37,917.40",7,2563,"13,214.80"
ส.ค.,"43,293.40",8,2563,"17,302.60"
ก.ย.,"44,005.50",9,2563,"27,431.90"
ต.ค.,"62,554.70",10,2563,"18,541.60"
พ.ย.,"53,740.00",11,2563,"17,498.70"
ธ.ค.,"55,890.50",12,2563,"19,468.20"
ม.ค.,"59,613.10",13,2564,"20,240.10"
ก.พ.,"57,930.80",14,2564,"17,434.20"
มี.ค.,"74,990.50",15,2564,"22,112.10"
เม.ย.,"49,759.00",16,2564,"16,788.20"
พ.ค.,"77,648.00",17,2564,"18,782.60"
มิ.ย.,"60,571.50",18,2564,"22,489.20"
ก.ค.,"41,366.90",19,2564,"15,238.60"
ส.ค.,"36,146.50",20,2564,"13,743.20"
ก.ย.,"69,004.00",21,2564,"20,852.60"
ต.ค.,"56,546.70",22,2564,"21,434.00"
พ.ย.,"58,488.60",23,2564,"20,465.80"
ธ.ค.,"58,446.00",24,2564,"22,472.80"
ม.ค.,"58,817.60",25,2565,"23,551.20"
ก.พ.,"58,844.90",26,2565,"17,589.80"
มี.ค.,"60,813.70",27,2565,"26,069.80"
เม.ย.,"58,575.80",28,2565,"17,353.20"
พ.ค.,"53,720.00",29,2565,"23,993.40"
มิ.ย.,"64,026.90",30,2565,"23,867.70"
ก.ค.,"57,483.20",31,2565,"19,694.10"
ส.ค.,"57,355.60",32,2565,"22,287.40"
ก.ย.,"63,083.10",33,2565,"24,642.20"
ต.ค.,"75,312.70",34,2565,"21,035.60"
พ.ย.,"65,214.70",35,2565,"23,845.20"
ธ.ค.,"64,757.70",36,2565,"22,135.90"
ม.ค.,"63,293.62",37,2566,"16,074.46"
ก.พ.,"60,035.97",38,2566,"20,090.12"
มี.ค.,"72,828.13",39,2566,"24,808.79"
เม.ย.,"56,244.66",40,2566,"17,449.21"
พ.ค.,"59,051.86",41,2566,"21,052.31"
มิ.ย.,"75,731.23",42,2566,"27,594.13"
ก.ค.,"60,931.33",43,2566,"25,086.91"
ส.ค.,"59,857.96",44,2566,"23,686.93"
ก.ย.,"62,190.46",45,2566,"20,871.83"
ต.ค.,"65,827.99",46,2566,"24,215.96"
พ.ย.,"16,194.11",47,2566,"4,152.25"
ธ.ค.,"54,649.26",48,2566,"36,877.12"
ม.ค.,"68,088.12",49,2567,"29,253.93"
ก.พ.,"75,073.98",50,2567,"28,081.26"
มี.ค.,"134,444.79",51,2567,"21,498.96"
เม.ย.,"72,246.49",52,2567,"19,143.16"
พ.ค.,"30,047.51",53,2567,"7,874.31"
มิ.ย.,"85,112.84",54,2567,"18,432.61"
ก.ค.,"118,320.31",55,2567,"17,719.79"
ส.ค.,"122,569.56",56,2567,"17,514.64"
ก.ย.,"91,910.08",57,2567,"18,491.78"
ต.ค.,"97,609.31",58,2567,"16,400.59"
พ.ย.,"92,286.53",59,2567,"20,065.99"
ธ.ค.,"78,947.94",60,2567,"15,958.85"
