จำนวน,ที่มา,_id,ปี,หน่วยนับ,พื้นที่
494479,สำนักงานเกษตรจังหวัดพิจิตร,1,2561,ไร่,จังหวัดพิจิตร
667103,สำนักงานเกษตรจังหวัดพิจิตร,2,2562,ไร่,จังหวัดพิจิตร
605868,สำนักงานเกษตรจังหวัดพิจิตร,3,2563,ไร่,จังหวัดพิจิตร
569163,สำนักงานเกษตรจังหวัดพิจิตร,4,2564,ไร่,จังหวัดพิจิตร
536553,สำนักงานเกษตรจังหวัดพิจิตร,5,2565,ไร่,จังหวัดพิจิตร
471818,สำนักงานเกษตรจังหวัดพิจิตร,6,2566,ไร่,จังหวัดพิจิตร
335621,สำนักงานเกษตรจังหวัดพิจิตร,7,2567,ไร่,จังหวัดพิจิตร
268621,สำนักงานเกษตรจังหวัดพิจิตร,8,2568,ไร่,จังหวัดพิจิตร
