จำนวน,ที่มา,_id,ปี,ลำดับ,หน่วย
"371,379,811.84",สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,บาท
"468,152,638.10",สำนักงานประกันสังคมจังหวัดลพบุรี,2,2566,2,บาท
"570,165,481.72",สำนักงานประกันสังคมจังหวัดลพบุรี,3,2567,3,บาท
"605,214,332.64",สำนักงานประกันสังคมจังหวัดลพบุรี,4,2568,4,บาท
