VALUE,SOURCE,_id,UNIT,HOURS_WORKED,REGION,YEAR
6.17,สำนักงานสถิติแห่งชาติ,1,พันคน,01) น้อยกว่า 15 ชั่วโมง,1) กรุงเทพมหานคร,2563
2.09,สำนักงานสถิติแห่งชาติ,2,พันคน,02) 15-19 ชั่วโมง,1) กรุงเทพมหานคร,2563
8.0,สำนักงานสถิติแห่งชาติ,3,พันคน,03) 20-29 ชั่วโมง,1) กรุงเทพมหานคร,2563
14.42,สำนักงานสถิติแห่งชาติ,4,พันคน,04) 30-34 ชั่วโมง,1) กรุงเทพมหานคร,2563
15.93,สำนักงานสถิติแห่งชาติ,5,พันคน,05) 35-39 ชั่วโมง,1) กรุงเทพมหานคร,2563
140.69,สำนักงานสถิติแห่งชาติ,6,พันคน,06) 40-48 ชั่วโมง,1) กรุงเทพมหานคร,2563
94.0,สำนักงานสถิติแห่งชาติ,7,พันคน,07) 49 ชั่วโมงขึ้นไป,1) กรุงเทพมหานคร,2563
36.31,สำนักงานสถิติแห่งชาติ,8,พันคน,01) น้อยกว่า 15 ชั่วโมง,2) ภาคกลาง,2563
12.75,สำนักงานสถิติแห่งชาติ,9,พันคน,02) 15-19 ชั่วโมง,2) ภาคกลาง,2563
88.6,สำนักงานสถิติแห่งชาติ,10,พันคน,03) 20-29 ชั่วโมง,2) ภาคกลาง,2563
84.39,สำนักงานสถิติแห่งชาติ,11,พันคน,04) 30-34 ชั่วโมง,2) ภาคกลาง,2563
159.24,สำนักงานสถิติแห่งชาติ,12,พันคน,05) 35-39 ชั่วโมง,2) ภาคกลาง,2563
444.87,สำนักงานสถิติแห่งชาติ,13,พันคน,06) 40-48 ชั่วโมง,2) ภาคกลาง,2563
239.97,สำนักงานสถิติแห่งชาติ,14,พันคน,07) 49 ชั่วโมงขึ้นไป,2) ภาคกลาง,2563
40.88,สำนักงานสถิติแห่งชาติ,15,พันคน,01) น้อยกว่า 15 ชั่วโมง,3) ภาคเหนือ,2563
19.56,สำนักงานสถิติแห่งชาติ,16,พันคน,02) 15-19 ชั่วโมง,3) ภาคเหนือ,2563
151.01,สำนักงานสถิติแห่งชาติ,17,พันคน,03) 20-29 ชั่วโมง,3) ภาคเหนือ,2563
134.58,สำนักงานสถิติแห่งชาติ,18,พันคน,04) 30-34 ชั่วโมง,3) ภาคเหนือ,2563
