id,ข้าวนาปี,กล้วยน้ำว้า,_id,กล้วยไข่,กล้วยหอม,ลำไย,อำเภอ
1,73763.15,-,1,-,-,-,เมืองตาก
2,22494.17,-,2,-,-,-,บ้านตาก
3,16284.66,-,3,-,-,-,สามเงา
4,51466.13,-,4,-,-,-,แม่ระมาด
5,62981.56,-,5,-,-,-,ท่าสองยาง
6,50339.43,-,6,-,-,-,แม่สอด
7,12703.66,-,7,-,-,-,พบพระ
8,28478.29,-,8,-,-,-,อุ้มผาง
9,13118.13,-,9,-,-,-,วังเจ้า
,331629.17,-,10,-,-,-,รวม
