รายการสถิติทางการ,_id,ปี,หน่วยนับ,หญิง,ชาย,อาชีพ
รวม,1,2563,คน,"4,997","10,711",ผู้บัญญัติกฎหมายและผู้จัดการ
รวม,2,2563,คน,"15,170","9,200",วิชาชีพด้านต่างๆ
รวม,3,2563,คน,"4,001","5,775",วิชาชีพด้านเทคนิค
รวม,4,2563,คน,"7,316","2,243",เสมียน
รวม,5,2563,คน,"50,720","29,170",พนักงานบริการ
รวม,6,2563,คน,"147,604","182,868",ด้านการเกษตรและประมง
รวม,7,2563,คน,"9,147","24,127",ด้านความสามารถทางฝีมือ
รวม,8,2563,คน,"5,701","14,945",ผู้ปฏิบัติงานโรงงานเครื่องจักร
รวม,9,2563,คน,"13,509","27,982",อาชีพพื้นฐานต่าง ๆ
แรงงานในระบบ,10,2563,คน,"4,856","7,927",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานในระบบ,11,2563,คน,"14,525","8,096",วิชาชีพด้านต่างๆ
แรงงานในระบบ,12,2563,คน,"3,416","5,290",วิชาชีพด้านเทคนิค
แรงงานในระบบ,13,2563,คน,"6,758","2,103",เสมียน
แรงงานในระบบ,14,2563,คน,"18,323","10,721",พนักงานบริการ
แรงงานในระบบ,15,2563,คน,"5,484","5,261",ด้านการเกษตรและประมง
แรงงานในระบบ,16,2563,คน,"2,525","7,497",ด้านความสามารถทางฝีมือ
แรงงานในระบบ,17,2563,คน,"1,172","8,477",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานในระบบ,18,2563,คน,"4,411","8,671",อาชีพพื้นฐานต่าง ๆ
แรงงานนอกระบบ,19,2563,คน,140,"2,784",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานนอกระบบ,20,2563,คน,645,"1,104",วิชาชีพด้านต่างๆ
แรงงานนอกระบบ,21,2563,คน,585,484,วิชาชีพด้านเทคนิค
แรงงานนอกระบบ,22,2563,คน,558,140,เสมียน
แรงงานนอกระบบ,23,2563,คน,"32,397","18,448",พนักงานบริการ
แรงงานนอกระบบ,24,2563,คน,"142,120","177,606",ด้านการเกษตรและประมง
แรงงานนอกระบบ,25,2563,คน,"6,621","16,630",ด้านความสามารถทางฝีมือ
แรงงานนอกระบบ,26,2563,คน,"4,529","6,468",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานนอกระบบ,27,2563,คน,"9,098","19,310",อาชีพพื้นฐานต่าง ๆ
