_id,ปี,เนื้อที่เก็บเกี่ยว,เนื้อที่เพาะปลูก
1,2561,88,88
2,2562,1654,1654
3,2563,384,384
4,2564,66,66
5,2565,382,382
6,2566,218,218
7,2567,612,614
