จำนวน,การศึกษาที่สำเร็จ,_id,ปี,ไตรมาส,หน่วยวัด
"6,775",มหาวิทยาลัย(สายวิชาการศึกษา),82,2564,3,คน
0,อื่นๆ,83,2564,3,คน
0,ไม่ทราบ,84,2564,3,คน
"27,461",ไม่มีการศึกษา,85,2564,4,คน
"99,656",ต่ำกว่าประถมศึกษา,86,2564,4,คน
"61,473",ประถมศึกษา,87,2564,4,คน
"52,081",มัธยมศึกษาตอนต้น,88,2564,4,คน
"54,952",มัธยมศึกษาตอนปลาย(สายสามัญ),89,2564,4,คน
"5,854",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),90,2564,4,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),91,2564,4,คน
"26,031",มหาวิทยาลัย(สายวิชาการ),92,2564,4,คน
"9,007",มหาวิทยาลัย(สายวิชาชีพ),93,2564,4,คน
"8,510",มหาวิทยาลัย(สายวิชาการศึกษา),94,2564,4,คน
0,อื่นๆ,95,2564,4,คน
0,ไม่ทราบ,96,2564,4,คน
"15,917",ไม่มีการศึกษา,97,2565,1,คน
"84,524",ต่ำกว่าประถมศึกษา,98,2565,1,คน
"51,786",ประถมศึกษา,99,2565,1,คน
"51,615",มัธยมศึกษาตอนต้น,100,2565,1,คน
"52,644",มัธยมศึกษาตอนปลาย(สายสามัญ),101,2565,1,คน
"5,782",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),102,2565,1,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),103,2565,1,คน
"28,660",มหาวิทยาลัย(สายวิชาการ),104,2565,1,คน
"8,892",มหาวิทยาลัย(สายวิชาชีพ),105,2565,1,คน
"8,559",มหาวิทยาลัย(สายวิชาการศึกษา),106,2565,1,คน
0,อื่นๆ,107,2565,1,คน
0,ไม่ทราบ,108,2565,1,คน
"19,409",ไม่มีการศึกษา,109,2565,2,คน
"78,272",ต่ำกว่าประถมศึกษา,110,2565,2,คน
"49,155",ประถมศึกษา,111,2565,2,คน
