คนงานชาย,แรงม้า,GPS_lat,คนงานรวม,_id,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,GPS_lng,ตำบล,อำเภอ,คนงานหญิง,จังหวัด,ผู้ประกอบการ
415,21267.78,18.2975886,707,1,1,บริษัท เซาท์แลนด์รีซอร์ซ จำกัด,ผลิตยางเครป ยางแท่ง เอส ที อาร์ 20 และยางผสม,103.8160818,โคกก่อง,เมืองบึงกาฬ,292,บึงกาฬ,บริษัท เซาท์แลนด์รีซอร์ซ จำกัด
335,27061.54,18.294008,450,2,2,บริษัท รับเบอร์แลนด์โปรดักส์ จำกัด,"ผลิตยางเครป, ยางแท่ง, เอสทีอาร์ 20, ยางผสม",103.629002,โนนสมบูรณ์,เมืองบึงกาฬ,115,บึงกาฬ,บริษัท รับเบอร์แลนด์โปรดักส์ จำกัด
95,14429.25,18.28886,178,3,3,บริษัท ย่านฉาง รับเบอร์ (ไทยแลนด์) จำกัด,"ผลิตยางแท่ง STR 20, ยางผสม และ STR5L",103.799119,โคกก่อง,เมืองบึงกาฬ,83,บึงกาฬ,บริษัท ย่านฉาง รับเบอร์ (ไทยแลนด์) จำกัด
30,16576.8,18.289399,50,4,4,บริษัท รับเบอร์แลนด์โปรดักส์ จำกัด,ผลิตน้ำยางข้นชนิด 60% สกิมบล็อค สกิมเครพ,103.630479,โนนสมบูรณ์,เมืองบึงกาฬ,20,บึงกาฬ,บริษัท รับเบอร์แลนด์โปรดักส์ จำกัด
25,2124.06,18.246445,71,5,5,บริษัท ไทยอีสเทิร์น อินโนเวชั่น จำกัด,ผลิตยางเครป หรือผลิตยางให้เป็นรูปแบบอื่นใดที่คล้ายคลึงกัน,103.322955,หนองยอง,ปากคาด,46,บึงกาฬ,บริษัท ไทยอีสเทิร์น อินโนเวชั่น จำกัด
15,345,18.049384,15,6,6,บริษัท มั่นคงธนา จำกัด,ทำยางแผ่นรมควัน,103.726809,ป่าแฝก,พรเจริญ,0,บึงกาฬ,บริษัท มั่นคงธนา จำกัด
4,4208.04,18.24255756,4,7,7,บริษัท ไทยฮั้วยางพารา จำกัด (มหาชน) สาขาหนองคาย,"ผลิตยางเครป , ยางแท่ง เอสทีอาร์ 20",103.7057877,โนนสมบูรณ์,เมืองบึงกาฬ,0,บึงกาฬ,บริษัท ไทยฮั้วยางพารา จำกัด (มหาชน)
4,73,18.122563,8,8,8,ศรีแก้ว รับเบอร์เทค,ทำผลิตภัณฑ์ยางพารา เช่น หมอนยางพารา ที่นอนยางพารา,103.427898,เหล่าทอง,โซ่พิสัย,4,บึงกาฬ,นายธนวณิช ชัยชนะ
30,285,17.8917667,34,9,9,บริษัท บึงกาฬรับเบอร์ เทคโนโลยี จำกัด,ทำผลิตภัณฑ์จากยางพารา,103.8075872,ท่ากกแดง,เซกา,4,บึงกาฬ,บริษัท บึงกาฬรับเบอร์ เทคโนโลยี จำกัด
