_id,ประเภทโรงงานที่แจ้ง,ปี,โรงงานที่แจ้ง (แห่ง),อำเภอ,ปริมาณกากรวม (กก)
1,22(1),2566,1,เมืองลพบุรี,"5,100.00"
2,44,2566,1,เมืองลพบุรี,"83,875.00"
3,53(4),2566,1,เมืองลพบุรี,"2,372.00"
4,53(5),2566,2,เมืองลพบุรี,"32,560.00"
5,64(10),2566,1,เมืองลพบุรี,"24,097.44"
6,72,2566,1,เมืองลพบุรี,"2,456,835.46"
7,89,2566,1,เมืองลพบุรี,430
8,95(1),2566,6,เมืองลพบุรี,"145,921.00"
9,95(3),2566,1,เมืองลพบุรี,800
10,88(1),2566,1,โคกสำโรง,"158,220.00"
11,17,2566,1,ชัยบาดาล,"12,715.00"
12,2(11),2566,1,ชัยบาดาล,"1,230.00"
13,4(3),2566,1,ชัยบาดาล,253.5
14,46(2),2566,1,ชัยบาดาล,"3,190.00"
15,88(2),2566,1,ชัยบาดาล,"8,610.00"
16,95(1),2566,2,ชัยบาดาล,"45,014.00"
17,22(1),2566,1,ท่าวุ้ง,"5,100.00"
18,44,2566,1,ท่าวุ้ง,"83,875.00"
19,53(4),2566,1,ท่าวุ้ง,"2,372.00"
20,53(5),2566,2,ท่าวุ้ง,"32,560.00"
21,11(3),2566,1,ท่าหลวง,"4,030.00"
22,38(2),2566,1,ท่าหลวง,760
23,101,2566,1,พัฒนานิคม,925
24,15(1),2566,4,พัฒนานิคม,"299,053.70"
25,2(1),2566,1,พัฒนานิคม,"1,080.00"
26,2(11),2566,1,พัฒนานิคม,"5,078.00"
27,2(5),2566,1,พัฒนานิคม,"453,475.00"
28,4(1),2566,2,พัฒนานิคม,"13,834.00"
29,4(3),2566,7,พัฒนานิคม,"44,415.80"
30,46(2),2566,1,พัฒนานิคม,"121,988.00"
31,53(1),2566,1,พัฒนานิคม,"31,530.00"
32,56,2566,1,พัฒนานิคม,"486,640.00"
33,57(1),2566,1,พัฒนานิคม,"1,790.00"
34,59,2566,1,พัฒนานิคม,"2,147,790.00"
35,88(1),2566,1,พัฒนานิคม,"10,220.00"
36,95(1),2566,3,พัฒนานิคม,"39,437.00"
37,100(6),2566,1,หนองม่วง,"209,688.80"
38,33,2566,1,หนองม่วง,"33,040.00"
39,64(12),2566,1,หนองม่วง,"8,760.00"
40,64(14),2566,1,หนองม่วง,"3,120.00"
41,2(1),2567,1,เมืองลพบุรี,460
42,42(1),2567,3,เมืองลพบุรี,"38,670.00"
43,53(4),2567,1,เมืองลพบุรี,"26,660.00"
44,53(5),2567,1,เมืองลพบุรี,"3,420.00"
45,58(3),2567,1,เมืองลพบุรี,"1,120.00"
46,64(10),2567,1,เมืองลพบุรี,"12,710.00"
47,72,2567,1,เมืองลพบุรี,"2,134,926.70"
48,89,2567,1,เมืองลพบุรี,660
49,95(1),2567,5,เมืองลพบุรี,"150,445.10"
50,95(3),2567,1,เมืองลพบุรี,600
51,106,2567,1,โคกสำโรง,"43,650.00"
52,88(1),2567,1,โคกสำโรง,"39,000.00"
53,17,2567,1,ชัยบาดาล,"14,447.50"
54,2(11),2567,1,ชัยบาดาล,"5,461.00"
55,4(1),2567,1,ชัยบาดาล,768
56,4(3),2567,1,ชัยบาดาล,140.9
57,46(2),2567,1,ชัยบาดาล,"5,190.00"
58,88(2),2567,1,ชัยบาดาล,"8,540.00"
59,9(2),2567,1,ชัยบาดาล,"1,780.00"
60,95(1),2567,2,ชัยบาดาล,"56,383.00"
61,22(1),2567,1,ท่าวุ้ง,"7,205.00"
62,44,2567,1,ท่าวุ้ง,"75,330.00"
63,53(4),2567,1,ท่าวุ้ง,"1,740.00"
64,53(5),2567,2,ท่าวุ้ง,"11,410.00"
65,11(3),2567,1,ท่าหลวง,"4,048.00"
66,15(1),2567,4,พัฒนานิคม,"412,448.00"
67,2(1),2567,1,พัฒนานิคม,"9,470.00"
68,2(11),2567,1,พัฒนานิคม,"5,240.00"
69,2(5),2567,1,พัฒนานิคม,"394,022.00"
70,4(1),2567,2,พัฒนานิคม,"16,996.00"
71,4(3),2567,7,พัฒนานิคม,"46,786.40"
72,46(2),2567,1,พัฒนานิคม,"140,016.00"
73,53(1),2567,1,พัฒนานิคม,"42,597.40"
74,56,2567,1,พัฒนานิคม,"410,922.50"
75,57(1),2567,1,พัฒนานิคม,390
76,59,2567,1,พัฒนานิคม,"276,760.00"
77,88(1),2567,2,พัฒนานิคม,"1,624,959.00"
78,95(1),2567,3,พัฒนานิคม,"40,280.00"
79,11(3),2567,1,สระโบสถ์,"59,340.00"
80,100(6),2567,1,หนองม่วง,"476,070.00"
81,14,2567,1,หนองม่วง,200
82,33,2567,1,หนองม่วง,"34,790.00"
83,64(12),2567,1,หนองม่วง,"14,906.00"
84,101,2568,1,เมืองลพบุรี,"180,000.00"
85,2(1),2568,1,เมืองลพบุรี,840
86,42(1),2568,3,เมืองลพบุรี,"23,220.00"
87,53(4),2568,1,เมืองลพบุรี,"42,905.10"
88,53(5),2568,1,เมืองลพบุรี,"2,541.00"
89,58(3),2568,1,เมืองลพบุรี,"1,480.00"
90,72,2568,2,เมืองลพบุรี,"2,597,275.00"
91,89,2568,1,เมืองลพบุรี,50
92,95(1),2568,6,เมืองลพบุรี,"166,129.60"
93,95(3),2568,1,เมืองลพบุรี,200
94,88(1),2568,1,โคกสำโรง,"76,790.00"
95,15(1),2568,1,ชัยบาดาล,"5,000.00"
96,17,2568,1,ชัยบาดาล,"8,250.00"
97,2(11),2568,1,ชัยบาดาล,"4,992.00"
98,4(1),2568,1,ชัยบาดาล,"3,748.00"
99,4(3),2568,1,ชัยบาดาล,173.4
100,46(2),2568,1,ชัยบาดาล,"14,150.00"
101,88(2),2568,1,ชัยบาดาล,"4,110.00"
102,95(1),2568,1,ชัยบาดาล,"9,658.00"
103,2(11),2568,1,ท่าวุ้ง,20
104,22(1),2568,1,ท่าวุ้ง,"7,530.00"
105,44,2568,1,ท่าวุ้ง,"128,560.00"
106,53(4),2568,1,ท่าวุ้ง,"5,115.00"
107,53(5),2568,2,ท่าวุ้ง,"13,780.00"
108,95(1),2568,1,ท่าวุ้ง,"3,790.00"
109,11(3),2568,1,ท่าหลวง,700
110,15(1),2568,5,พัฒนานิคม,"437,065.00"
111,2(1),2568,1,พัฒนานิคม,"17,210.00"
112,2(11),2568,1,พัฒนานิคม,"2,005.00"
113,2(5),2568,1,พัฒนานิคม,"267,320.00"
114,4(1),2568,2,พัฒนานิคม,"13,474.00"
115,4(3),2568,7,พัฒนานิคม,"39,985.40"
116,46(2),2568,1,พัฒนานิคม,"134,243.00"
117,53(1),2568,1,พัฒนานิคม,"60,100.00"
118,56,2568,1,พัฒนานิคม,"204,930.00"
119,57(1),2568,1,พัฒนานิคม,900
120,95(1),2568,4,พัฒนานิคม,"56,656.00"
121,11(3),2568,1,สระโบสถ์,"48,710.00"
122,100(6),2568,1,หนองม่วง,"162,450.00"
123,14,2568,1,หนองม่วง,450
124,33,2568,1,หนองม่วง,"38,900.00"
125,64(12),2568,2,หนองม่วง,"6,031.10"
126,64(14),2568,1,หนองม่วง,"2,390.00"
127,72,2568,2,หนองม่วง,"73,349.50"
