_id,หน่วย,จังหวัด,ปี,ที่มา,วิสาหกิจ
1,แห่ง,2565,1,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,19
2,แห่ง,2566,2,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,19
3,แห่ง,2567,3,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,19
4,แห่ง,2568,4,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,19
