จำนวน,ประเภทรถ,_id,ปี
0,รถโดยสาร,1,2563
523,รถโดยสารประจำทาง,2,2563
206,รถโดยสารไม่ประจำทาง,3,2563
318,รถบัสส่วนตัว,4,2563
0,รถบรรทุก,5,2563
1755,รถบรรทุกไม่ประจำทาง,6,2563
11866,รถบรรทุกส่วนตัว,7,2563
8,รถขนาดเล็ก,8,2563
0,รถโดยสาร,9,2564
484,รถโดยสารประจำทาง,10,2564
182,รถโดยสารไม่ประจำทาง,11,2564
326,รถบัสส่วนตัว,12,2564
0,รถบรรทุก,13,2564
1942,รถบรรทุกไม่ประจำทาง,14,2564
12213,รถบรรทุกส่วนตัว,15,2564
8,รถขนาดเล็ก,16,2564
0,รถโดยสาร,17,2565
459,รถโดยสารประจำทาง,18,2565
173,รถโดยสารไม่ประจำทาง,19,2565
338,รถบัสส่วนตัว,20,2565
0,รถบรรทุก,21,2565
2154,รถบรรทุกไม่ประจำทาง,22,2565
12288,รถบรรทุกส่วนตัว,23,2565
8,รถขนาดเล็ก,24,2565
0,รถโดยสาร,25,2566
392,รถโดยสารประจำทาง,26,2566
167,รถโดยสารไม่ประจำทาง,27,2566
355,รถบัสส่วนตัว,28,2566
0,รถบรรทุก,29,2566
2316,รถบรรทุกไม่ประจำทาง,30,2566
12284,รถบรรทุกส่วนตัว,31,2566
8,รถขนาดเล็ก,32,2566
0,รถโดยสาร,33,2567
352,รถโดยสารประจำทาง,34,2567
150,รถโดยสารไม่ประจำทาง,35,2567
359,รถบัสส่วนตัว,36,2567
0,รถบรรทุก,37,2567
2234,รถบรรทุกไม่ประจำทาง,38,2567
12226,รถบรรทุกส่วนตัว,39,2567
8,รถขนาดเล็ก,40,2567
