จำนวน,_id,ปี,หน่วย
4,1,2560,แห่ง
6,2,2561,แห่ง
10,3,2562,แห่ง
16,4,2563,แห่ง
16,5,2564,แห่ง
23,6,2565,แห่ง
30,7,2566,แห่ง
32,8,2567,แห่ง
