จำนวน,_id,หน่วยงานเจ้าของ,หน่วย,ชื่อโรงงาน,ประกอบกิจการ,ปีที่ได้รับอนุญาต,เพศ,ตำบล,อำเภอ,TSIC,รหัสประเภท
132,1,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท สหเรือง จำกัด,ผลิตน้ำตาลทรายดิบและน้ำตาลทรายขาว กำลังผลิต 5992 ตันอ้อย/วัน,2536,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,10721,1103
2,2,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท สหเรือง จำกัด,ผลิตน้ำตาลทรายดิบและน้ำตาลทรายขาว กำลังผลิต 5992 ตันอ้อย/วัน,2536,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,10721,1103
5,3,สำนักงานอุตสาหกรรมจังหวัด,คน,พาวเวอร์พี แอนด์รีไซเคิล,ทำถุงพลาสติก,2536,ชาย,คำอาฮวน,เมืองมุกดาหาร,22220,5304
3,4,สำนักงานอุตสาหกรรมจังหวัด,คน,พาวเวอร์พี แอนด์รีไซเคิล,ทำถุงพลาสติก,2536,หญิง,คำอาฮวน,เมืองมุกดาหาร,22220,5304
4,5,สำนักงานอุตสาหกรรมจังหวัด,คน,สนิทภัณฑ์อุตสาหกรรมห้องเย็น,โรงงานห้องเย็น,2536,ชาย,มุกดาหาร,เมืองมุกดาหาร,52101,9200
0,6,สำนักงานอุตสาหกรรมจังหวัด,คน,สนิทภัณฑ์อุตสาหกรรมห้องเย็น,โรงงานห้องเย็น,2536,หญิง,มุกดาหาร,เมืองมุกดาหาร,52101,9200
7,7,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด โรงสีกิมเจ็กซินมุกดาหาร,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 25 เกวียน/วัน,2536,ชาย,มุกดาหาร,เมืองมุกดาหาร,10611,901
0,8,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด โรงสีกิมเจ็กซินมุกดาหาร,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 25 เกวียน/วัน,2536,หญิง,มุกดาหาร,เมืองมุกดาหาร,10611,901
3,9,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงกลึงเทคนิคยนต์,กลึง เชื่อมโลหะ และซ่อมเครื่องยนต์,2536,ชาย,มุกดาหาร,เมืองมุกดาหาร,25922,6413
1,10,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงกลึงเทคนิคยนต์,กลึง เชื่อมโลหะ และซ่อมเครื่องยนต์,2536,หญิง,มุกดาหาร,เมืองมุกดาหาร,25922,6413
