VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
65.95,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,1,รวม,ร้อยละ,ทั่วประเทศ,2563
74.02,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,2,ชาย,ร้อยละ,ทั่วประเทศ,2563
58.43,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,3,หญิง,ร้อยละ,ทั่วประเทศ,2563
69.22,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,4,รวม,ร้อยละ,กรุงเทพมหานคร,2563
75.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,5,ชาย,ร้อยละ,กรุงเทพมหานคร,2563
63.34,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,6,หญิง,ร้อยละ,กรุงเทพมหานคร,2563
69.31,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,7,รวม,ร้อยละ,ภาคกลาง,2563
77.39,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,8,ชาย,ร้อยละ,ภาคกลาง,2563
61.71,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,9,หญิง,ร้อยละ,ภาคกลาง,2563
63.64,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,10,รวม,ร้อยละ,ภาคเหนือ,2563
71.28,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,11,ชาย,ร้อยละ,ภาคเหนือ,2563
56.55,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,12,หญิง,ร้อยละ,ภาคเหนือ,2563
59.97,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,13,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2563
68.55,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,14,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2563
52.06,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,15,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2563
69.83,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,16,รวม,ร้อยละ,ภาคใต้,2563
79.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,17,ชาย,ร้อยละ,ภาคใต้,2563
61.14,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,18,หญิง,ร้อยละ,ภาคใต้,2563
65.26,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,19,รวม,ร้อยละ,ทั่วประเทศ,2563
73.92,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,20,ชาย,ร้อยละ,ทั่วประเทศ,2563
57.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,21,หญิง,ร้อยละ,ทั่วประเทศ,2563
68.29,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,22,รวม,ร้อยละ,กรุงเทพมหานคร,2563
74.73,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,23,ชาย,ร้อยละ,กรุงเทพมหานคร,2563
62.35,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,24,หญิง,ร้อยละ,กรุงเทพมหานคร,2563
68.03,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,25,รวม,ร้อยละ,ภาคกลาง,2563
76.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,26,ชาย,ร้อยละ,ภาคกลาง,2563
60.33,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,27,หญิง,ร้อยละ,ภาคกลาง,2563
61.57,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,28,รวม,ร้อยละ,ภาคเหนือ,2563
70.21,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,29,ชาย,ร้อยละ,ภาคเหนือ,2563
53.57,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,30,หญิง,ร้อยละ,ภาคเหนือ,2563
61.25,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,31,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2563
71.12,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,32,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2563
