_id,มูลค่า (บาท),พื้นที่เสียหาย (ไร่),อำเภอ
1,0,0,เมืองอุทัยธานี
2,9363404,1537,ทัพทัน
3,51446940,8445,สว่างอารมณ์
4,633568,104,หนองฉาง
5,0,0,หนองขาหย่าง
6,0,0,บ้านไร่
7,0,0,ลานสัก
8,0,0,ห้วยคต
