จำนวน,_id,ปี,รหัส,ปริมาณ
1,1,61,1,60
1,2,61,1,8
1,3,61,1,10
1,4,61,1,30
5,5,61,2,6855
2,6,61,2,806
2,7,61,2,1605
1,8,61,2,30
16,9,61,2,42831
10,10,61,2,47435
2,11,61,2,30450
3,12,61,2,229
2,13,61,2,100
1,14,61,2,400
1,15,61,3,50
10,16,61,3,1276
1,17,61,3,7000
7,18,61,3,21875
1,19,61,3,90
6,20,61,4,493.5
1,21,61,4,7
1,22,61,4,15
1,23,61,4,30
1,24,61,4,20
2,25,61,4,295
3,26,61,4,1436
11,27,61,4,1695
2,28,61,4,97.23
3,29,61,5,270
3,30,61,5,8250
1,31,61,5,300
2,32,61,5,4800
1,33,61,5,300
3,34,61,5,2660
2,35,61,5,70
8,36,61,5,66
1,37,61,5,50
1,38,61,5,600
1,39,61,5,5
6,40,61,6,630
2,41,61,6,3.8
1,42,61,6,0.1
1,43,61,6,25
2,44,61,6,51
1,45,61,6,10
2,46,61,6,20
6,47,61,6,3663.5
4,48,61,6,1195.5
1,49,61,6,60
2,50,61,6,4420
1,51,61,6,20
2,52,61,6,620
3,53,61,6,23000
3,54,61,6,81
1,55,61,6,5
1,56,61,6,2000
1,57,61,6,100
19,58,61,6,2545
2,59,61,6,50
11,60,61,7,26370
6,61,61,7,166.5
2,62,61,7,1100
14,63,61,7,2427
3,64,61,7,2084
26,65,61,7,5375
12,66,61,7,10424
5,67,61,7,21753
1,68,61,7,47900
32,69,61,7,14534.15
1,70,61,7,5
24,71,61,7,4673.5
3,72,61,7,480
45,73,61,7,26722.3
1,74,61,7,100
16,75,61,7,2730
21,76,61,7,12153.5
18,77,61,7,39927.63
171,78,61,7,62487.27
31,79,61,7,2116.5
2,80,61,7,12
2,81,61,7,3040
2,82,61,7,720
19,83,61,7,6224
3,84,61,7,1870
37,85,61,7,469.46
1,86,61,7,27
1,87,61,7,30
1,88,61,7,700
3,89,61,7,43783
3,90,61,7,4030
7,91,61,7,6795
5,92,61,7,525
3,93,61,7,550
1,94,61,7,6800
3,95,61,7,273332
134,96,61,8,6024.1
1,97,61,8,15
30,98,61,8,1664.02
2,99,61,8,325
36,100,61,8,3561.48
33,101,61,8,2980.85
1,102,61,8,20
3,103,61,8,400
1,104,61,8,3
1,105,61,8,100
6,106,61,8,74
5,107,61,8,37
1,108,61,8,10
1,109,61,8,1
1,110,61,8,8
40,111,61,8,1953.72
1,112,61,8,10
5,113,61,8,146
3,114,61,8,675
1,115,61,8,200
6,116,61,8,600
2,117,61,8,310
4,118,61,8,825
1,119,61,9,1
13,120,61,10,138275.2
1,121,61,10,5
8,122,61,10,156.5
1,123,61,10,4000
1,124,61,10,10
1,125,61,10,2
1,126,61,10,1.5
2,127,61,10,38
1,128,61,10,635
1,129,61,10,30
1,130,61,10,4
1,131,61,10,60
5,132,61,10,67.5
9,133,61,10,895335
10,134,61,10,454905
9,135,61,10,118500
22,136,61,10,236320.6
1,137,61,10,200
2,138,61,10,320
18,139,61,10,28555
4,140,61,10,9850
2,141,61,10,1300
1,142,61,10,30
1,143,61,10,4
2,144,61,10,671.69
1,145,61,10,8
1,146,61,10,60
1,147,61,10,4
1,148,61,10,1850
3,149,61,10,49
1,150,61,10,5
3,151,61,10,47400
1,152,61,10,300
4,153,61,10,2740
1,154,61,10,200
1,155,61,10,1
6,156,61,10,22140
1,157,61,10,5
2,158,61,10,40
2,159,61,10,160
4,160,61,10,1191
1,161,61,10,800
2,162,61,10,20.6
4,163,61,10,2757
1,164,61,10,125
1,165,61,10,200
3,166,61,10,2030
3,167,61,10,680
9,168,61,10,14817
1,169,61,10,520
1,170,61,10,270
1,171,61,10,50
1,172,61,10,10
1,173,61,10,120
1,174,61,10,3501
3,175,61,10,3508.5
1,176,61,10,3501
24,177,61,10,19675
34,178,61,11,48067
18,179,61,11,9671.82
16,180,61,11,1510.5
20,181,61,11,3461.38
33,182,61,11,4836.7
3,183,61,11,30
35,184,61,11,4084
1,185,61,11,200
7,186,61,11,798
12,187,61,11,487
2,188,61,11,102
1,189,61,11,120
3,190,61,11,68.1
8,191,61,11,5841.21
6,192,61,11,840
2,193,61,11,45
378,194,61,12,657597.86
23,195,61,12,7359.8
191,196,61,12,33475.62
5,197,61,12,481
116,198,61,12,20686.31
16,199,61,12,4763.5
3,200,61,12,86
125,201,61,12,24073.46
43,202,61,12,12682.5
9,203,61,12,1208
15,204,61,12,385
61,205,61,12,4098
14,206,61,12,748.7
48,207,61,12,4887
47,208,61,12,4665
60,209,61,12,4208.3
1,210,61,12,8
50,211,61,12,1402
40,212,61,12,814.4
21,213,61,12,459.1
1,214,61,12,300
1,215,61,12,3
1,216,61,13,20
1,217,61,13,2
14,218,61,13,492
20,219,61,13,498.5
2,220,61,13,16
105,221,61,13,1524.51
3,222,61,13,30.5
18,223,61,13,662.5
58,224,61,13,1936.2
1,225,61,13,50
414,226,61,13,12785.01
7,227,61,13,235
5,228,61,13,382.5
7,229,61,13,1279
11,230,61,13,1090
1,231,61,13,10
16,232,61,13,3362.1
6,233,61,13,171.4
2,234,61,13,15
1,235,61,13,6
7,236,61,13,131
35,237,61,13,2862.7
3,238,61,14,3.95
11,239,61,14,147.5
154,240,61,14,12174.34
650,241,61,15,62854.03
575,242,61,15,49879.65
560,243,61,15,62563.77
102,244,61,15,11427.02
15,245,61,15,722.5
2,246,61,15,58
17,247,61,15,822.1
5,248,61,15,56
796,249,61,15,39325.67
311,250,61,15,756.32
821,251,61,15,44972.13
136,252,61,15,9553.33
51,253,61,16,395.3
1,254,61,16,10
2,255,61,16,20
20,256,61,16,77.1
1,257,61,16,6
8,258,61,16,1969
1,259,61,16,50
1,260,61,16,1
14,261,61,16,3844
7,262,61,16,318.5
3,263,61,16,159
11,264,61,16,64.8
10,265,61,16,21
3,266,61,16,54.2
4,267,61,16,27
3,268,61,16,8.2
1,269,61,16,5
1,270,61,16,5
1,271,61,16,1
126,272,61,16,595.6
17,273,61,16,228.1
606,274,61,16,1585.9
107,275,61,16,3370.7
19,276,61,16,3268.5
52,277,61,16,14991.01
47,278,61,16,5583.15
65,279,61,16,62715.22
6,280,61,16,36.5
98,281,61,16,994.08
38,282,61,16,449.48
99,283,61,16,3695.44
10,284,61,16,16861
152,285,61,16,960.78
79,286,61,16,82.86
5,287,61,16,2.6
10,288,61,16,15.7
6,289,61,16,2.7
25,290,61,16,34228.5
35,291,61,16,5755
2,292,61,16,260
12,293,61,16,733.5
22,294,61,16,8791
2,295,61,16,1000
2,296,61,16,26.5
21,297,61,16,7292.2
1,298,61,16,2
1,299,61,16,40
1,300,61,16,0.5
205,301,61,16,82033.1
13,302,61,16,3551
2,303,61,16,400
1,304,61,16,40
1,305,61,16,10
1,306,61,16,600
12,307,61,16,1857
11,308,61,16,4396
21,309,61,16,2320
9,310,61,16,1178.5
17,311,61,17,81919
1,312,61,17,10
13,313,61,17,335.05
13,314,61,17,533
15,315,61,17,35378
13,316,61,17,784
7,317,61,17,229
60,318,61,17,1837.45
5,319,61,17,37.8
1,320,61,17,50
44,321,61,17,496.7
76,322,61,17,1454.4
1,323,61,17,0.5
18,324,61,17,152.5
276,325,61,17,37785.47
65,326,61,17,3347.11
8,327,61,17,153
18,328,61,17,292.5
22,329,61,17,12216
3,330,61,17,37
13,331,61,17,607
14,332,61,17,1484
15,333,61,17,208.37
120,334,61,17,3331.1
85,335,61,17,2353.05
1,336,61,17,7
2,337,61,17,11
7,338,61,17,262
20,339,61,17,9857.3
1,340,61,18,1
2,341,61,19,30
1,342,61,19,10
3,343,61,19,51
1,344,61,19,100
2,345,61,19,203
2,346,61,19,8663
1,347,61,19,85
3,348,61,19,1053
1,349,61,19,34.3
2,350,61,19,320
2,351,61,19,520
1,352,61,19,150
2,353,61,19,220
13,354,61,19,11207
3,355,61,19,1132
18,356,61,19,20745
92,357,61,19,51367.5
70,358,61,19,42008.23
2,359,61,19,90
