แรงม้า,ประเภทโรงงาน,ตำบล,ประกอบกิจการ,เลขทะเบียนโรงงานเดิม,คนงานรวม,ถนน,เลขที่,จังหวัด,จำพวก,รหัสไปรษณีย์,หมู่,ผู้ประกอบการ,เงินทุนรวม(ล้านบาท),ซอย,ชื่อโรงงาน,_id,FID,รหัสประเภท,อำเภอ,ปีที่อนุญาต
858.26,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,มาบโป่ง,แปรรูปไม้ยางพาราเพื่อจำหน่าย ทำลังไม้ ทำเครื่องเรือนจากไม้,ศ3-34(1)-1/35ชบ,30,สุขประยูร,21,ชลบุรี,3,20160,7,บริษัท ไทย ที.เจ. พาราวูด จำกัด,2.8,-,บริษัท ไทย ที.เจ. พาราวูด จำกัด,1,200000000000,3401,พานทอง,2535
9364.98,การบรรจุเนื้อสัตว์หรือมันสัตว์ หรือผลิตภัณฑ์สำเร็จรูปจากเนื้อสัตว์หรือมันสัตว์ ,คลองกิ่ว,ทำผลิตภัณฑ์เนื้อสัตว์สำเร็จรูปบรรจุในภาชนะปิดสนิท,ศ3-4(5)-1/39ชบ,170,บ้านบึง-ระยอง,695/3,ชลบุรี,3,20220,1,บริษัท ควิซีน โซลูชั่น เอเซีย จำกัด,277.2,-,บริษัท ควิซีน โซลูชั่น เอเซีย จำกัด,2,200000000000,405,บ้านบึง,2539
1070,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,หนองปรือ,ผลิตน้ำแข็งซอง ได้วันละ 894 ซอง,ศ3-14-2/33ชบ,19,ชัยพรวิถี,54,ชลบุรี,3,20150,12,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งบางละมุง,18.3,,โรงน้ำแข็งบางละมุง,3,200000000000,1400,บางละมุง,2533
7294.37,การป่นหรือบดพืช เมล็ดพืช กากพืช เนื้อสัตว์ กระดูกสัตว์ ขนสัตว์ หรือเปลือกหอย,หนองรี,ทำขนไก่ป่น,ศ3-15(2)-2/34ชบ,26,ชลบุรี-บ้านบึง,40/3,ชลบุรี,3,20000,7,บริษัท วี.เอส.เค.อินเตอร์เทรด (1989) จำกัด,7.5,,บริษัท วีเอส เค อินเตอร์เทรด (1989) จำกัด,4,200000000000,1502,เมืองชลบุรี,2534
9670.5,การป่นหรือบดพืช เมล็ดพืช กากพืช เนื้อสัตว์ กระดูกสัตว์ ขนสัตว์ หรือเปลือกหอย,หนองบอนแดง,ทำขนไก่ป่น,ศ3-15(2)-1/34ชบ,20,สายหนองบอนแดง,191/1,ชลบุรี,3,20170,2,บริษัท นูโปร จำกัด,80,,บริษัท นูโปร จำกัด,5,200000000000,1502,บ้านบึง,2534
390.5,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,หมอนนาง,ทำเครื่องเรือนและเครื่องตกแต่งภายในอาคารจากไม้ยางพารา,ศ3-37-2/34ชบ,429,สัตหีบ-ฉะเชิงเทรา,16,ชลบุรี,3,20140,11,บริษัท โพเดียมโฮลดิ้ง กรุ๊ป จำกัด,126.66706,,บริษัท โพเดียมโฮลดิ้ง กรุ๊ป จำกัด,6,200000000000,3700,พนัสนิคม,2534
97039.81,การทำไม้วีเนียร์ หรือไม้อัดทุกชนิด,หนองอิรุณ,ผลิตแผ่นใยไม้อัด (ไฟเบอร์บอร์ด) ชนิดความหนาแน่นปานกลาง,ศ3-34(3)-1/34ชบ,592,บ้านบึง-เนินโมก,46044,ชลบุรี,3,20220,1,บริษัท วนชัย กรุ๊ป จำกัด (มหาชน),178.7101,,บริษัท วนชัย กรุ๊ป จำกัด (มหาชน),7,200000000000,3403,บ้านบึง,2534
4745.84,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,นาวังหิน,แปรรูปไม้ ไส-ซอยไม้ ทำปาก์เกต โมเสก ไม้หน้าโต๊ะ ไม้พืน ชิ้น ส่วนเครื่องเรือนเครื่องใช้ เครื่องเรือน เครื่องใช้   ,ศ3-37-1/36ชบ,271,สายฉะเชิงเทรา-สัตหีบ (331),99,ชลบุรี,3,20140,5,บริษัท ไอ วูด อินโนเวชั่น จำกัด,212.053286,,บริษัท ไอ วูด อินโนเวชั่น จำกัด,8,200000000000,3700,พนัสนิคม,2536
484.64,การทำเครื่องเขียนหรือเครื่องวาดภาพ,บ้านเก่า,ผลิตดินสอชนิดต่าง ๆ จากไม้,ศ3-87(2)-1/36ชบ,80,อำเภอพานทอง,100,ชลบุรี,3,20160,2,บริษัท ที ที เอ็ม อินดัสเตรียล จำกัด,120.875671,,บริษัท ที ที เอ็ม อินดัสเตรียล จำกัด,9,201000000000,8702,พานทอง,2536
434.9,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,ทางเกวียน,ผลิตเก้าอี้จากไม้ยางพารา ผลิตเฟอร์นิเจอร์ เครื่องเรือน และชิ้นส่วนเฟอร์นิเจอร์จากไม้ยางพารา,ส3-37-1/32รย,130,หนองกันเกรา,68/5,ระยอง,3,21110,,บริษัท ไทยมิกิโมคึ จำกัด,29,,บริษัท ไทยมิกิโมคึ จำกัด,10,210000000000,3700,แกลง,2532
