วันที่หมดอายุ,_id,ลำดับ,เลขทะเบียน,วันที่อนุมัติ,ระดับ GI,ชื่อโรงงาน
2568-03-10T00:00:00,93,93,20200200925552,2565-04-10T00:00:00,2,บริษัท ยูนิคัล เวิร์คส์ จำกัด
2568-01-23T00:00:00,94,94,20200253225629,2565-01-24T00:00:00,2,บริษัท เกษตรชล 2559 จำกัด
2570-01-28T00:00:00,95,95,20201100125426,2567-01-29T00:00:00,2,บริษัท ลัคกี้เวิลด์กรุ๊ป จำกัด
2568-05-29T00:00:00,96,96,20200101225573,2565-05-30T00:00:00,2,อู่เซี๊ยะไพบูลย์
2570-01-28T00:00:00,97,97,20200300125541,2567-01-29T00:00:00,2,บริษัท เกียนล็อค (ไทยแลนด์) จำกัด
2567-10-27T00:00:00,98,98,20200102725506,2564-10-28T00:00:00,2,บริษัท เมทัล บิวล์ดิง (ประเทศไทย) จำกัด
2570-02-20T00:00:00,99,99,20200300225432,2567-02-21T00:00:00,2,บริษัท ฮิวเทค (เอเซีย) จำกัด
2567-12-12T00:00:00,100,100,20200105925590,2564-12-13T00:00:00,2,บริษัท บี.เอ.ซี.เทค จำกัด
2569-03-22T00:00:00,101,101,20200300725498,2566-03-23T00:00:00,2,บริษัท อินเตอร์เฟส โซลูชั่น จำกัด
2567-12-12T00:00:00,102,102,20200200125476,2564-12-13T00:00:00,2,บริษัท เอสแอล. คาร์โบรันดัม (ประเทศไทย) จำกัด
2568-06-23T00:00:00,103,103,20200500125390,2565-06-24T00:00:00,2,บริษัท สตาร์-บอนด์ (ไทยแลนด์) จำกัด
2570-01-16T00:00:00,104,104,20200200825570,2567-01-17T00:00:00,2,บริษัท โอทีอาร์ วีล เอ็นจิเนียริ่ง (ไทยแลนด์) จำกัด
2569-02-10T00:00:00,105,105,20200600125381,2566-03-10T00:00:00,2,โรงงานคอนกรีตผสมเสร็จ ศรีราชา
2567-10-27T00:00:00,106,106,20200202825602,2564-10-28T00:00:00,2,บริษัท พารากอน สตีล เซอร์วิส เซ็นเตอร์ จำกัด
2570-01-24T00:00:00,107,107,20200700125463,2567-01-25T00:00:00,2,บริษัท ซินิเท็กซ์ อินดัสตรี้ จำกัด
