_id,region,year,value,unit
1,ทั่วราชอาณาจักร,2559,8.91,ปี
2,กรุงเทพมหานคร,2559,11.49,ปี
3,กลาง,2559,9.28,ปี
4,เหนือ,2559,7.86,ปี
5,ตะวันออกเฉียงเหนือ,2559,7.81,ปี
6,ใต้,2559,8.87,ปี
7,ทั่วราชอาณาจักร,2560,9.03,ปี
8,กรุงเทพมหานคร,2560,11.6,ปี
9,กลาง,2560,9.43,ปี
10,เหนือ,2560,8.0,ปี
11,ตะวันออกเฉียงเหนือ,2560,7.85,ปี
12,ใต้,2560,9.01,ปี
13,ทั่วราชอาณาจักร,2561,9.06,ปี
14,กรุงเทพมหานคร,2561,11.68,ปี
15,กลาง,2561,9.42,ปี
16,เหนือ,2561,8.1,ปี
17,ตะวันออกเฉียงเหนือ,2561,7.94,ปี
18,ใต้,2561,8.96,ปี
19,ทั่วราชอาณาจักร,2562,9.16,ปี
20,กรุงเทพมหานคร,2562,11.54,ปี
21,กลาง,2562,9.54,ปี
22,เหนือ,2562,8.2,ปี
23,ตะวันออกเฉียงเหนือ,2562,8.05,ปี
24,ใต้,2562,9.05,ปี
25,ทั่วราชอาณาจักร,2563,9.29,ปี
26,กรุงเทพมหานคร,2563,11.63,ปี
27,กลาง,2563,9.71,ปี
28,เหนือ,2563,8.3,ปี
29,ตะวันออกเฉียงเหนือ,2563,8.2,ปี
30,ใต้,2563,9.14,ปี
31,ทั่วราชอาณาจักร,2564,9.35,ปี
32,กรุงเทพมหานคร,2564,11.28,ปี
33,กลาง,2564,9.78,ปี
34,เหนือ,2564,8.47,ปี
35,ตะวันออกเฉียงเหนือ,2564,8.37,ปี
36,ใต้,2564,9.29,ปี
37,ทั่วราชอาณาจักร,2565,9.7,ปี
38,กรุงเทพมหานคร,2565,11.39,ปี
39,กลาง,2565,10.22,ปี
40,เหนือ,2565,8.75,ปี
41,ตะวันออกเฉียงเหนือ,2565,8.65,ปี
42,ใต้,2565,9.68,ปี
43,ทั่วราชอาณาจักร,2566,9.71,ปี
44,กรุงเทพมหานคร,2566,11.39,ปี
45,กลาง,2566,10.2,ปี
46,เหนือ,2566,8.7,ปี
47,ตะวันออกเฉียงเหนือ,2566,8.71,ปี
48,ใต้,2566,9.73,ปี
49,ทั่วราชอาณาจักร,2567,9.71,ปี
50,กรุงเทพมหานคร,2567,11.48,ปี
51,กลาง,2567,10.06,ปี
52,เหนือ,2567,8.67,ปี
53,ตะวันออกเฉียงเหนือ,2567,8.89,ปี
54,ใต้,2567,9.68,ปี
