VALUE,ST_GRADUATE,SOURCE,_id,EDUCATION_LEVEL,UNIT,YEAR,LABOUR_STATUS
2020750,รวม,สำนักงานสถิติแห่งชาติ,1,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2557,รวม
1748358,รวม,สำนักงานสถิติแห่งชาติ,2,ปริญญาตรีขึ้นไป (Bachelor or higher),คน,2557,รวม
3769108,รวม,สำนักงานสถิติแห่งชาติ,3,รวม (Total),คน,2557,รวม
1190638,รวม,สำนักงานสถิติแห่งชาติ,4,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1091084,รวม,สำนักงานสถิติแห่งชาติ,5,ปริญญาตรีขึ้นไป (Bachelor or higher),คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2281722,รวม,สำนักงานสถิติแห่งชาติ,6,รวม (Total),คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
965050,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,7,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
745665,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,8,ปริญญาตรีขึ้นไป (Bachelor or higher),คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1710715,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,9,รวม (Total),คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
225588,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,10,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
345419,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,11,ปริญญาตรีขึ้นไป (Bachelor or higher),คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
571007,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,12,รวม (Total),คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
802622,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,13,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2557,ทำงานด้านอื่น
633309,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,14,ปริญญาตรีขึ้นไป (Bachelor or higher),คน,2557,ทำงานด้านอื่น
1435931,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,15,รวม (Total),คน,2557,ทำงานด้านอื่น
27490,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,16,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2557,ผู้ว่างงาน
23965,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,17,ปริญญาตรีขึ้นไป (Bachelor or higher),คน,2557,ผู้ว่างงาน
51455,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,18,รวม (Total),คน,2557,ผู้ว่างงาน
2109344,รวม,สำนักงานสถิติแห่งชาติ,19,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2558,รวม
1859672,รวม,สำนักงานสถิติแห่งชาติ,20,ปริญญาตรีขึ้นไป (Bachelor or higher),คน,2558,รวม
3969016,รวม,สำนักงานสถิติแห่งชาติ,21,รวม (Total),คน,2558,รวม
1253399,รวม,สำนักงานสถิติแห่งชาติ,22,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1151708,รวม,สำนักงานสถิติแห่งชาติ,23,ปริญญาตรีขึ้นไป (Bachelor or higher),คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2405107,รวม,สำนักงานสถิติแห่งชาติ,24,รวม (Total),คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1021620,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,25,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
777109,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,26,ปริญญาตรีขึ้นไป (Bachelor or higher),คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1798729,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,27,รวม (Total),คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
231779,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,28,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
374599,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,29,ปริญญาตรีขึ้นไป (Bachelor or higher),คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
606378,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,30,รวม (Total),คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
826745,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,31,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2558,ทำงานด้านอื่น
