จำนวน,ที่มา,_id,ปี,อำเภอ,รายการ,ทั้งหมด,หน่วย
24,สำนักงานอุตสาหกรรมจังหวัดกำแพงเพชร,1,2568,อำเภอเมืองกำแพงเพชร,จำนวนโรงงานอุตสาหกรรมที่ได้มาตรฐาน Green Industry,26,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดกำแพงเพชร,2,2568,อำเภอไทรงาม,จำนวนโรงงานอุตสาหกรรมที่ได้มาตรฐาน Green Industry,2,แห่ง
5,สำนักงานอุตสาหกรรมจังหวัดกำแพงเพชร,3,2568,อำเภอคลองลาน,จำนวนโรงงานอุตสาหกรรมที่ได้มาตรฐาน Green Industry,5,แห่ง
12,สำนักงานอุตสาหกรรมจังหวัดกำแพงเพชร,4,2568,อำเภอขาณุวรลักษบุรี,จำนวนโรงงานอุตสาหกรรมที่ได้มาตรฐาน Green Industry,12,แห่ง
17,สำนักงานอุตสาหกรรมจังหวัดกำแพงเพชร,5,2568,อำเภอคลองขลุง,จำนวนโรงงานอุตสาหกรรมที่ได้มาตรฐาน Green Industry,18,แห่ง
20,สำนักงานอุตสาหกรรมจังหวัดกำแพงเพชร,6,2568,อำเภอพรานกระต่าย,จำนวนโรงงานอุตสาหกรรมที่ได้มาตรฐาน Green Industry,20,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดกำแพงเพชร,7,2568,อำเภอลานกระบือ,จำนวนโรงงานอุตสาหกรรมที่ได้มาตรฐาน Green Industry,2,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดกำแพงเพชร,8,2568,อำเภอทรายทองวัฒนา,จำนวนโรงงานอุตสาหกรรมที่ได้มาตรฐาน Green Industry,1,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดกำแพงเพชร,9,2568,อำเภอปางศิลาทอง,จำนวนโรงงานอุตสาหกรรมที่ได้มาตรฐาน Green Industry,0,แห่ง
6,สำนักงานอุตสาหกรรมจังหวัดกำแพงเพชร,10,2568,อำเภอบึงสามัคคี,จำนวนโรงงานอุตสาหกรรมที่ได้มาตรฐาน Green Industry,6,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดกำแพงเพชร,11,2568,อำเภอโกสัมพีนคร,จำนวนโรงงานอุตสาหกรรมที่ได้มาตรฐาน Green Industry,2,แห่ง
