ค่าข้อมูล,ที่มา,จังหวัด,_id,ปี,รายการ,สถานะภาพแรงงาน,หน่วย
"150,527",สำนักงานสถิติจังหวัดสตูล,สตูล,1,2560,ผู้อยู่ในกำลังแรงงาน,ผู้อยู่ในกำลังแรงงาน,คน
"2,611",สำนักงานสถิติจังหวัดสตูล,สตูล,2,2560,ผู้อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
"147,294",สำนักงานสถิติจังหวัดสตูล,สตูล,3,2560,ผู้อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
622,สำนักงานสถิติจังหวัดสตูล,สตูล,4,2560,ผู้อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
"150,676",สำนักงานสถิติจังหวัดสตูล,สตูล,5,2561,ผู้อยู่ในกำลังแรงงาน,ผู้อยู่ในกำลังแรงงาน,คน
"2,310",สำนักงานสถิติจังหวัดสตูล,สตูล,6,2561,ผู้อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
"148,003",สำนักงานสถิติจังหวัดสตูล,สตูล,7,2561,ผู้อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
363,สำนักงานสถิติจังหวัดสตูล,สตูล,8,2561,ผู้อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
"151,962",สำนักงานสถิติจังหวัดสตูล,สตูล,9,2562,ผู้อยู่ในกำลังแรงงาน,ผู้อยู่ในกำลังแรงงาน,คน
"2,601",สำนักงานสถิติจังหวัดสตูล,สตูล,10,2562,ผู้อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
"149,083",สำนักงานสถิติจังหวัดสตูล,สตูล,11,2562,ผู้อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
278,สำนักงานสถิติจังหวัดสตูล,สตูล,12,2562,ผู้อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
"148,071",สำนักงานสถิติจังหวัดสตูล,สตูล,13,2563,ผู้อยู่ในกำลังแรงงาน,ผู้อยู่ในกำลังแรงงาน,คน
"3,442",สำนักงานสถิติจังหวัดสตูล,สตูล,14,2563,ผู้อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
"144,561",สำนักงานสถิติจังหวัดสตูล,สตูล,15,2563,ผู้อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
68,สำนักงานสถิติจังหวัดสตูล,สตูล,16,2563,ผู้อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
"150,000",สำนักงานสถิติจังหวัดสตูล,สตูล,17,2564,ผู้อยู่ในกำลังแรงงาน,ผู้อยู่ในกำลังแรงงาน,คน
"4,689",สำนักงานสถิติจังหวัดสตูล,สตูล,18,2564,ผู้อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
"144,580",สำนักงานสถิติจังหวัดสตูล,สตูล,19,2564,ผู้อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
732,สำนักงานสถิติจังหวัดสตูล,สตูล,20,2564,ผู้อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
"163,337",สำนักงานสถิติจังหวัดสตูล,สตูล,21,2565,ผู้อยู่ในกำลังแรงงาน,ผู้อยู่ในกำลังแรงงาน,คน
"3,382",สำนักงานสถิติจังหวัดสตูล,สตูล,22,2565,ผู้อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
"159,955",สำนักงานสถิติจังหวัดสตูล,สตูล,23,2565,ผู้อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
,สำนักงานสถิติจังหวัดสตูล,สตูล,24,2565,ผู้อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
"160,705",สำนักงานสถิติจังหวัดสตูล,สตูล,25,2566,ผู้อยู่ในกำลังแรงงาน,ผู้อยู่ในกำลังแรงงาน,คน
"3,169",สำนักงานสถิติจังหวัดสตูล,สตูล,26,2566,ผู้อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
"157,536",สำนักงานสถิติจังหวัดสตูล,สตูล,27,2566,ผู้อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
,สำนักงานสถิติจังหวัดสตูล,สตูล,28,2566,ผู้อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
"155,607",สำนักงานสถิติจังหวัดสตูล,สตูล,29,2567,ผู้อยู่ในกำลังแรงงาน,ผู้อยู่ในกำลังแรงงาน,คน
"2,156",สำนักงานสถิติจังหวัดสตูล,สตูล,30,2567,ผู้อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
"153,363",สำนักงานสถิติจังหวัดสตูล,สตูล,31,2567,ผู้อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
88,สำนักงานสถิติจังหวัดสตูล,สตูล,32,2567,ผู้อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
