จำนวน,ที่มา,_id,ปี,อำเภอ,หน่วย
3746,สำนักงานเกษตรจังหวัดลพบุรี,1,2564,เมืองลพบุรี,ไร่
47317,สำนักงานเกษตรจังหวัดลพบุรี,2,2564,พัฒนานิคม,ไร่
28616,สำนักงานเกษตรจังหวัดลพบุรี,3,2564,โคกสำโรง,ไร่
74006,สำนักงานเกษตรจังหวัดลพบุรี,4,2564,ชัยบาดาล,ไร่
7,สำนักงานเกษตรจังหวัดลพบุรี,5,2564,ท่าวุ้ง,ไร่
10236,สำนักงานเกษตรจังหวัดลพบุรี,6,2564,บ้านหมี่,ไร่
38639.5,สำนักงานเกษตรจังหวัดลพบุรี,7,2564,ท่าหลวง,ไร่
27981,สำนักงานเกษตรจังหวัดลพบุรี,8,2564,สระโบสถ์,ไร่
44399,สำนักงานเกษตรจังหวัดลพบุรี,9,2564,โคกเจริญ,ไร่
23222.5,สำนักงานเกษตรจังหวัดลพบุรี,10,2564,ลำสนธิ,ไร่
44187,สำนักงานเกษตรจังหวัดลพบุรี,11,2564,หนองม่วง,ไร่
5035,สำนักงานเกษตรจังหวัดลพบุรี,12,2565,เมืองลพบุรี,ไร่
47068,สำนักงานเกษตรจังหวัดลพบุรี,13,2565,พัฒนานิคม,ไร่
27531,สำนักงานเกษตรจังหวัดลพบุรี,14,2565,โคกสำโรง,ไร่
68170,สำนักงานเกษตรจังหวัดลพบุรี,15,2565,ชัยบาดาล,ไร่
,สำนักงานเกษตรจังหวัดลพบุรี,16,2565,ท่าวุ้ง,ไร่
7206,สำนักงานเกษตรจังหวัดลพบุรี,17,2565,บ้านหมี่,ไร่
20797.5,สำนักงานเกษตรจังหวัดลพบุรี,18,2565,ท่าหลวง,ไร่
35311,สำนักงานเกษตรจังหวัดลพบุรี,19,2565,สระโบสถ์,ไร่
37780,สำนักงานเกษตรจังหวัดลพบุรี,20,2565,โคกเจริญ,ไร่
25034.5,สำนักงานเกษตรจังหวัดลพบุรี,21,2565,ลำสนธิ,ไร่
51454,สำนักงานเกษตรจังหวัดลพบุรี,22,2565,หนองม่วง,ไร่
4143.12,สำนักงานเกษตรจังหวัดลพบุรี,23,2566,เมืองลพบุรี,ไร่
49543.094,สำนักงานเกษตรจังหวัดลพบุรี,24,2566,พัฒนานิคม,ไร่
21551.858,สำนักงานเกษตรจังหวัดลพบุรี,25,2566,โคกสำโรง,ไร่
73072.464,สำนักงานเกษตรจังหวัดลพบุรี,26,2566,ชัยบาดาล,ไร่
,สำนักงานเกษตรจังหวัดลพบุรี,27,2566,ท่าวุ้ง,ไร่
8426.754,สำนักงานเกษตรจังหวัดลพบุรี,28,2566,บ้านหมี่,ไร่
33973.992,สำนักงานเกษตรจังหวัดลพบุรี,29,2566,ท่าหลวง,ไร่
26013.684,สำนักงานเกษตรจังหวัดลพบุรี,30,2566,สระโบสถ์,ไร่
41032.54,สำนักงานเกษตรจังหวัดลพบุรี,31,2566,โคกเจริญ,ไร่
24961.36,สำนักงานเกษตรจังหวัดลพบุรี,32,2566,ลำสนธิ,ไร่
44651.84,สำนักงานเกษตรจังหวัดลพบุรี,33,2566,หนองม่วง,ไร่
4164,สำนักงานเกษตรจังหวัดลพบุรี,34,2567,เมืองลพบุรี,ไร่
49904,สำนักงานเกษตรจังหวัดลพบุรี,35,2567,พัฒนานิคม,ไร่
21929,สำนักงานเกษตรจังหวัดลพบุรี,36,2567,โคกสำโรง,ไร่
73448,สำนักงานเกษตรจังหวัดลพบุรี,37,2567,ชัยบาดาล,ไร่
0,สำนักงานเกษตรจังหวัดลพบุรี,38,2567,ท่าวุ้ง,ไร่
8502,สำนักงานเกษตรจังหวัดลพบุรี,39,2567,บ้านหมี่,ไร่
34265,สำนักงานเกษตรจังหวัดลพบุรี,40,2567,ท่าหลวง,ไร่
26205,สำนักงานเกษตรจังหวัดลพบุรี,41,2567,สระโบสถ์,ไร่
47566,สำนักงานเกษตรจังหวัดลพบุรี,42,2567,โคกเจริญ,ไร่
25241,สำนักงานเกษตรจังหวัดลพบุรี,43,2567,ลำสนธิ,ไร่
45204,สำนักงานเกษตรจังหวัดลพบุรี,44,2567,หนองม่วง,ไร่
1413,สำนักงานเกษตรจังหวัดลพบุรี,45,2568,เมืองลพบุรี,ไร่
45146,สำนักงานเกษตรจังหวัดลพบุรี,46,2568,พัฒนานิคม,ไร่
21550,สำนักงานเกษตรจังหวัดลพบุรี,47,2568,โคกสำโรง,ไร่
65758,สำนักงานเกษตรจังหวัดลพบุรี,48,2568,ชัยบาดาล,ไร่
0,สำนักงานเกษตรจังหวัดลพบุรี,49,2568,ท่าวุ้ง,ไร่
7296,สำนักงานเกษตรจังหวัดลพบุรี,50,2568,บ้านหมี่,ไร่
25478,สำนักงานเกษตรจังหวัดลพบุรี,51,2568,ท่าหลวง,ไร่
20259,สำนักงานเกษตรจังหวัดลพบุรี,52,2568,สระโบสถ์,ไร่
37961,สำนักงานเกษตรจังหวัดลพบุรี,53,2568,โคกเจริญ,ไร่
10374,สำนักงานเกษตรจังหวัดลพบุรี,54,2568,ลำสนธิ,ไร่
26223,สำนักงานเกษตรจังหวัดลพบุรี,55,2568,หนองม่วง,ไร่
